VeriAdlari,A,B,GammaMax,GammaMin,GoodnessVal
10_kap_2_pokus8.dat,832.143716567198,0.346110004799806,9839.25409403889,1386.83698588846,0.961229205521761
11_kap_2_pokus9.dat,2092.87491765689,0.243937937443518,11846.5057141573,1878.80349009045,0.98639189777156
1_kap_2_pokus1.dat ,725.811837858128,0.367028253723305,12372.1329946047,1507.5105500539,0.988858354332007
2_kap_2_pokus10.dat,2445.50073477498,0.223635094222184,9237.41949840879,939.699689970555,0.985072966144033
3_kap_2_pokus12.dat,1428.5875308518,0.295161988881071,7823.59968830303,1357.81564602888,0.991096605627815
4_kap_2_pokus13.dat,981.622223845575,0.322818907671644,14143.7051804706,1330.36493182765,0.980580069868856
5_kap_2_pokus14.dat,540.761496187202,0.394050449242874,9216.97664370226,316.611750205537,0.917853978398715
6_kap_2_pokus4.dat ,2248.00228737659,0.241117577869232,12993.5872156302,576.383357532583,0.978072902560941
7_kap_2_pokus5.dat ,2922.98715337853,0.198958622368898,12814.9555789891,802.87782879303,0.982115356832915
8_kap_2_pokus6.dat ,856.957089813063,0.339812058780561,15108.6548755659,976.301719025063,0.981823950234295
9_kap_2_pokus7.dat ,1093.51918636268,0.313023717267081,8048.32939029977,603.627553960306,0.981485984695523
