Time,Velocity,Pressure,Gamma,Tau
8099.34173,0.00118621054435112,531297.692198609,447.190839809308,3541.98461465739
8099.35173,0.00119102347113826,531211.911653636,449.005270461718,3541.41274435757
8099.36172,0.00119586375470074,531127.872867355,450.830014375457,3540.85248578237
8099.37172,0.00120073139503854,531045.575839768,452.665071550525,3540.30383893179
8099.38172,0.00120562639215168,530965.020570872,454.510441986924,3539.76680380582
8099.39171,0.00121054874604016,530886.207060671,456.366125684651,3539.24138040447
8099.40171,0.00121549845670396,530809.135309162,458.232122643708,3538.72756872775
8099.41171,0.0012204755241431,530733.805316345,460.108432864093,3538.22536877564
8099.42171,0.00122547994835757,530660.217082222,461.995056345808,3537.73478054815
8099.4317,0.00123051172934736,530588.370606792,463.89199308885,3537.25580404528
8099.4417,0.0012355708671125,530518.265890055,465.799243093224,3536.78843926703
8099.4517,0.00124065736165296,530449.90293201,467.716806358925,3536.3326862134
8099.4617,0.00124577121296876,530383.281732659,469.644682885957,3535.88854488439
8099.47169,0.00125091242105989,530318.402292,471.582872674317,3535.45601528
8099.48169,0.00125608098592635,530255.264610034,473.531375724006,3535.03509740023
8099.49169,0.00126127690756815,530193.868686761,475.490192035025,3534.62579124508
8099.50169,0.00126650018598527,530134.214522181,477.459321607372,3534.22809681454
8099.51168,0.00127175082117773,530076.302116294,479.438764441048,3533.84201410863
8099.52168,0.00127702881314552,530020.131469101,481.428520536054,3533.46754312734
8099.53168,0.00128233416188864,529965.702580599,483.42858989239,3533.10468387066
8099.54168,0.0012876668674071,529913.015450791,485.438972510054,3532.75343633861
8099.55167,0.00129302692970089,529862.070079676,487.459668389048,3532.41380053117
8099.56167,0.00129841434877,529812.866467253,489.49067752937,3532.08577644835
8099.57167,0.00130382912461445,529765.404613524,491.531999931022,3531.76936409016
8099.58167,0.00130927125723424,529719.684518487,493.583635594003,3531.46456345658
8099.59166,0.00131474074662935,529675.706182143,495.645584518313,3531.17137454762
8099.60166,0.0013202375927998,529633.469604492,497.717846703952,3530.88979736328
8099.61166,0.00132576179574558,529592.974785535,499.80042215092,3530.61983190356
8099.62165,0.00133131335546669,529554.221725269,501.893310859217,3530.36147816846
8099.63165,0.00133689227196314,529517.210423697,503.996512828845,3530.11473615798
8099.64165,0.00134249854523492,529481.940880818,506.1100280598,3529.87960587212
8099.65165,0.00134813217528203,529448.413096632,508.233856552085,3529.65608731088
8099.66164,0.00135379316210447,529416.627071138,510.367998305699,3529.44418047426
8099.67164,0.00135948150570224,529386.582804338,512.512453320643,3529.24388536225
8099.68164,0.00136519720607535,529358.28029623,514.667221596914,3529.05520197487
8099.69164,0.00137094026322379,529331.719546816,516.832303134516,3528.87813031211
8099.70163,0.00137671067714756,529306.900556094,519.007697933447,3528.71267037396
8099.71163,0.00138250844784666,529283.823324065,521.193405993707,3528.55882216043
8099.72163,0.00138833357532109,529262.487850729,523.389427315296,3528.41658567153
8099.73163,0.00139418605957086,529242.894136086,525.595761898214,3528.28596090724
8099.74162,0.00140006590059596,529225.042180136,527.812409742461,3528.16694786758
8099.75162,0.00140597309839639,529208.931982878,530.039370848038,3528.05954655252
8099.76162,0.00141190765297216,529194.563544315,532.276645214944,3527.9637569621
8099.77162,0.00141786956432325,529181.936864443,534.524232843178,3527.87957909629
