Time,Velocity,Pressure,Gamma,Tau
5785.55401,1.47561929633719,572662.99768396,2348.52105133847,7635.50663578614
5785.56401,1.47661716388701,572969.873414601,2350.10920686953,7639.59831219468
5785.57401,1.47762807057638,573276.723616761,2351.71811483571,7643.68964822348
5785.584,1.47865201640531,573583.54829044,2353.34777523704,7647.78064387253
5785.594,1.47968900137379,573890.347435637,2354.99818807349,7651.87129914183
5785.604,1.48073902548182,574197.121052354,2356.66935334507,7655.96161403139
5785.61399,1.4818020887294,574503.869140591,2358.36127105179,7660.05158854121
5785.62399,1.48287819111653,574810.591700346,2360.07394119364,7664.14122267128
5785.63399,1.48396733264321,575117.28873162,2361.80736377062,7668.2305164216
5785.64399,1.48506951330945,575423.960234414,2363.56153878274,7672.31946979219
5785.65398,1.48618473311524,575730.606208727,2365.33646622999,7676.40808278302
5785.66398,1.48731299206058,576037.226654559,2367.13214611238,7680.49635539412
5785.67398,1.48845429014546,576343.82157191,2368.94857842989,7684.58428762547
5785.68398,1.48960862736991,576650.39096078,2370.78576318254,7688.67187947707
5785.69397,1.4907760037339,576956.93482117,2372.64370037031,7692.75913094893
5785.70397,1.49195641923744,577263.453153078,2374.52238999323,7696.84604204103
5785.71397,1.49314987388054,577569.945956505,2376.42183205128,7700.9326127534
5785.72397,1.49435636766318,577876.413231452,2378.34202654446,7705.01884308603
5785.73396,1.49557590058538,578182.854977918,2380.28297347277,7709.1047330389
5785.74396,1.49680847264713,578489.271195902,2382.24467283621,7713.19028261203
5785.75396,1.49805408384844,578795.661885407,2384.22712463479,7717.27549180542
5785.76396,1.49931273418929,579102.02704643,2386.2303288685,7721.36036061906
5785.77395,1.50058442366969,579408.366678972,2388.25428553735,7725.44488905296
5785.78395,1.50186915228965,579714.680783034,2390.29899464132,7729.52907710711
5785.79395,1.50316692004916,580020.969358614,2392.36445618043,7733.61292478152
5785.80395,1.50447772694822,580327.232405714,2394.45067015467,7737.69643207619
5785.81394,1.50580157298682,580633.469924333,2396.55763656405,7741.77959899111
5785.82394,1.50713845816499,580939.681914471,2398.68535540855,7745.86242552628
5785.83394,1.5084883824827,581245.868376128,2400.8338266882,7749.94491168171
5785.84394,1.50985134593996,581552.029309304,2403.00305040296,7754.02705745739
5785.85393,1.51122734853678,581858.164714,2405.19302655287,7758.10886285333
5785.86393,1.51261639027315,582164.274590214,2407.40375513791,7762.19032786952
5785.87393,1.51401847114907,582470.358937948,2409.63523615808,7766.27145250598
5785.88392,1.51543359116454,582776.417757201,2411.88746961339,7770.35223676268
5785.89392,1.51686175031956,583082.451047972,2414.16045550382,7774.43268063963
5785.90392,1.51830294861413,583388.458810263,2416.45419382939,7778.51278413685
5785.91392,1.51975718604826,583694.441044074,2418.76868459009,7782.59254725432
5785.92391,1.52122446262193,584000.397749403,2421.10392778593,7786.67196999204
5785.93391,1.52270477833516,584306.328926251,2423.4599234169,7790.75105235002
5785.94391,1.52419813318794,584612.234574619,2425.836671483,7794.82979432826
5785.95391,1.52570452718027,584918.114694505,2428.23417198423,7798.90819592674
5785.9639,1.52722396031216,585223.969285911,2430.6524249206,7802.98625714548
5785.9739,1.52875643258359,585529.798348836,2433.0914302921,7807.06397798449
5785.9839,1.53030194399457,585835.60188328,2435.55118809873,7811.14135844374
5785.9939,1.53186049454511,586141.379889244,2438.0316983405,7815.21839852325
5786.00389,1.5334320842352,586447.132366726,2440.5329610174,7819.29509822302
5786.01389,1.53501671306484,586752.859315727,2443.05497612943,7823.37145754303
5786.02389,1.53661438103403,587058.560736249,2445.59774367659,7827.44747648331
5786.03389,1.53822508814277,587364.236628288,2448.16126365889,7831.52315504384
5786.04388,1.53984883439107,587669.886991847,2450.74553607632,7835.59849322462
5786.05388,1.54148561977891,587975.511826925,2453.35056092888,7839.67349102566
5786.06388,1.54313544430631,588281.111133522,2455.97633821657,7843.74814844696
5786.07388,1.54479830797326,588586.684911638,2458.6228679394,7847.82246548851
5786.08387,1.54647421077976,588892.233161273,2461.29015009736,7851.89644215031
5786.09387,1.54816315272581,589197.755882428,2463.97818469045,7855.97007843238
5786.10387,1.54986513381141,589503.253075102,2466.68697171868,7860.04337433469
5786.11386,1.55158015403657,589808.724739295,2469.41651118204,7864.11632985727
5786.12386,1.55330821340127,590114.170875006,2472.16680308053,7868.18894500008
5786.13386,1.55504931190553,590419.591482238,2474.93784741415,7872.26121976317
5786.14386,1.55680344954934,590724.986560988,2477.72964418291,7876.3331541465
5786.15385,1.5585706263327,591030.356111257,2480.5421933868,7880.40474815009
5786.16385,1.56035084225561,591335.700133045,2483.37549502583,7884.47600177393
5786.17385,1.56214409731807,591641.018626353,2486.22954909998,7888.54691501804
5786.18385,1.56395039152009,591946.311591179,2489.10435560927,7892.61748788239
5786.19384,1.56576972486165,592251.579027526,2491.99991455369,7896.68772036701
5786.20384,1.56760209734277,592556.82093539,2494.91622593325,7900.75761247187
5786.21384,1.56944750896344,592862.037314775,2497.85328974793,7904.827164197
5786.22384,1.57130595972366,593167.228165678,2500.81110599775,7908.89637554237
5786.23383,1.57317744962343,593472.393488101,2503.78967468271,7912.96524650801
5786.24383,1.57506197866276,593777.533282041,2506.78899580279,7917.03377709389
5786.25383,1.57695954684163,594082.647547502,2509.80906935801,7921.10196730003
5786.26383,1.57887015416006,594387.736284482,2512.84989534836,7925.16981712643
5786.27382,1.58079380061804,594692.799492981,2515.91147377385,7929.23732657308
5786.28382,1.58273048621556,594997.837172999,2518.99380463446,7933.30449563998
