VeriAdlari,A,B,C,GammaMax,GammaMin,GoodnessVal
10_kap_2_pokus8.dat,70687.2127469824,0.0432274587130331,-87484.3237893656,1840.23640499426,509.757043719189,0.611523125127464
11_kap_2_pokus9.dat,1.69820739246676,0.979494727209035,6479.13138163612,2671.42678720398,640.540110590097,0.999993184543383
1_kap_2_pokus1.dat ,231.67928532039,0.479462432942673,1415.4646096254,1770.48430756474,319.985219309245,0.998294210661156
2_kap_2_pokus10.dat,7556.093137351,0.0958123500885815,-6916.2772683969,1671.14192333213,183.026071968051,0.994866837451625
3_kap_2_pokus12.dat,21.3451401024441,0.739390987262908,4749.89123135338,1768.03367431616,418.478668263422,0.999995080008558
4_kap_2_pokus13.dat,15777.3405807169,0.10241209708353,-24088.9512178914,1474.13037907885,385.003887784802,0.993020367890349
5_kap_2_pokus14.dat,18.025411902722,0.77897557190416,3351.43110791317,775.564369642194,241.656542529627,0.999956621007062
6_kap_2_pokus4.dat ,76.2330970549139,0.56283628370776,4437.0291974542,3024.83101533297,158.148356618474,0.99805142863474
7_kap_2_pokus5.dat ,6289.5896807664,0.107285487592575,-5559.95875806475,2407.60135792258,191.650461375397,0.998815600043023
8_kap_2_pokus6.dat ,0.00790606550197932,1.75007882073626,5359.32345174372,1913.27883652842,294.687989237443,0.999555416678113
9_kap_2_pokus7.dat ,2.69627802829859,1.03736679005343,4132.26658469259,976.413872577088,109.492315404621,0.999994107985773
