Time,Velocity,Pressure,Gamma,Tau
6311.5371,0.00383804644443385,756024.484701731,361.727355419094,10080.3264626897
6311.54709,0.003837927698313,755844.76631068,361.716163860867,10077.9302174757
6311.55709,0.00383787430867885,755667.711597292,361.711132006394,10075.5694879639
6311.56709,0.00383788627553141,755493.320561565,361.712259855677,10073.2442741542
6311.57709,0.00383796359887067,755321.5932035,361.719547408715,10070.9545760467
6311.58708,0.00383810627869665,755152.529523098,361.732994665507,10068.7003936413
6311.59708,0.00383831431500933,754986.129520356,361.752601626055,10066.4817269381
6311.60708,0.00383858770780871,754822.393195277,361.778368290358,10064.298575937
6311.61708,0.0038389264570948,754661.32054786,361.810294658416,10062.1509406381
6311.62707,0.0038393305628676,754502.911578104,361.848380730229,10060.0388210414
6311.63707,0.00383980002512711,754347.16628601,361.892626505797,10057.9622171468
6311.64707,0.00384033484387332,754194.084671578,361.943031985119,10055.9211289544
6311.65707,0.00384093501910623,754043.666734808,361.999597168197,10053.9155564641
6311.66706,0.00384160055082585,753895.9124757,362.06232205503,10051.945499676
6311.67706,0.00384233143903218,753750.821894253,362.131206645618,10050.01095859
6311.68706,0.00384312768372522,753608.394990469,362.206250939961,10048.1119332063
6311.69705,0.00384398928490496,753468.631764346,362.287454938059,10046.2484235246
6311.70705,0.0038449162425714,753331.532215885,362.374818639912,10044.4204295451
6311.71705,0.00384590855672455,753197.096345086,362.46834204552,10042.6279512678
6311.72705,0.00384696622736442,753065.324151948,362.568025154883,10040.8709886926
6311.73704,0.00384808925449098,752936.215636473,362.673867968001,10039.1495418196
6311.74704,0.00384927763810426,752809.770798659,362.785870484874,10037.4636106488
6311.75704,0.00385053137820423,752685.989638508,362.904032705502,10035.8131951801
6311.76704,0.00385185047479092,752564.872156017,363.028354629885,10034.1982954136
6311.77703,0.00385323492786431,752446.418351189,363.158836258023,10032.6189113492
6311.78703,0.00385468473742441,752330.628224022,363.295477589916,10031.075042987
6311.79703,0.00385619990347121,752217.501774519,363.438278625565,10029.5666903269
6311.80703,0.00385778042600472,752107.039002676,363.587239364968,10028.093853369
6311.81702,0.00385942630502494,751999.239908495,363.742359808126,10026.6565321133
6311.82702,0.00386113754053186,751894.104491976,363.903639955039,10025.2547265597
6311.83702,0.00386291413252548,751791.632753119,364.071079805707,10023.8884367082
6311.84702,0.00386475608100582,751691.824691923,364.244679360131,10022.557662559
6311.85701,0.00386666338597286,751594.680308389,364.424438618309,10021.2624041119
6311.86701,0.00386863604742661,751500.199602518,364.610357580243,10020.0026613669
6311.87701,0.00387067406536706,751408.382574308,364.802436245931,10018.7784343241
6311.88701,0.00387277743979422,751319.22922376,365.000674615375,10017.5897229835
6311.897,0.00387494617070809,751232.739550873,365.205072688573,10016.436527345
6311.907,0.00387718025810866,751148.913555649,365.415630465526,10015.3188474087
6311.917,0.00387947970199593,751067.751238086,365.632347946234,10014.2366831745
6311.92699,0.00388184450236992,750989.252598185,365.855225130698,10013.1900346425
6311.93699,0.00388427465923061,750913.417635947,366.084262018917,10012.1789018126
6311.94699,0.00388677017257801,750840.24635137,366.31945861089,10011.2032846849
6311.95699,0.00388933104241211,750769.738744454,366.560814906619,10010.2631832594
6311.96698,0.00389195726873292,750701.894815201,366.808330906102,10009.358597536
6311.97698,0.00389464885154044,750636.714563609,367.062006609341,10008.4895275148
6311.98698,0.00389740579083466,750574.197989679,367.321842016334,10007.6559731957
6311.99698,0.00390022808661559,750514.345093411,367.587837127083,10006.8579345788
6312.00697,0.00390311573888322,750457.155874805,367.859991941587,10006.0954116641
6312.01697,0.00390606874763756,750402.630333861,368.138306459845,10005.3684044515
6312.02697,0.00390908711287861,750350.768470578,368.422780681859,10004.676912941
6312.03697,0.00391217083460636,750301.570284958,368.713414607628,10004.0209371328
6312.04696,0.00391531991282082,750255.035776999,369.010208237152,10003.4004770267
6312.05696,0.00391853434752199,750211.164946702,369.31316157043,10002.8155326227
6312.06696,0.00392181413870986,750169.957794067,369.622274607464,10002.2661039209
6312.07696,0.00392515928638444,750131.414319094,369.937547348253,10001.7521909212
6312.08695,0.00392856979054572,750095.534521782,370.258979792797,10001.2737936238
6312.09695,0.00393204565119371,750062.318402132,370.586571941096,10000.8309120284
6312.10695,0.00393558686832841,750031.765960144,370.92032379315,10000.4235461353
6312.11695,0.00393919344194981,750003.877195818,371.260235348958,10000.0516959442
6312.12694,0.00394286537205792,749978.652109154,371.606306608522,9999.71536145539
6312.13694,0.00394660265865274,749956.090700151,371.958537571842,9999.41454266869
6312.14694,0.00395040530173426,749936.192968811,372.316928238915,9999.14923958415
6312.15693,0.00395427330130249,749918.958915132,372.681478609744,9998.91945220176
6312.16693,0.00395820665735742,749904.388539115,373.052188684328,9998.72518052153
6312.17693,0.00396220536989906,749892.48184076,373.429058462667,9998.56642454347
6312.18693,0.0039662694389274,749883.238820067,373.812087944761,9998.44318426756
6312.19692,0.00397039886444246,749876.659477036,374.201277130611,9998.35545969381
6312.20692,0.00397459364644422,749872.743811666,374.596626020215,9998.30325082222
6312.21692,0.00397885378493268,749871.491823958,374.998134613574,9998.28655765278
6312.22692,0.00398317927990786,749872.903513912,375.405802910688,9998.30538018549
6312.23691,0.00398757013136973,749876.978881528,375.819630911557,9998.35971842038
6312.24691,0.00399202633931832,749883.717926806,376.239618616181,9998.44957235741
6312.25691,0.00399654790375361,749893.120649746,376.665766024561,9998.57494199661
6312.26691,0.0040011348246756,749905.187050347,377.098073136695,9998.73582733796
6312.2769,0.00400578710208431,749919.91712861,377.536539952584,9998.93222838147
6312.2869,0.00401050473597972,749937.310884535,377.981166472229,9999.16414512714
6312.2969,0.00401528772636183,749957.368318122,378.431952695628,9999.43157757496
6312.3069,0.00402013607323065,749980.08942937,378.888898622782,9999.73452572494
6312.31689,0.00402504977658618,750005.474218282,379.352004253691,10000.0729895771
6312.32689,0.00403002883642841,750033.522684853,379.821269588356,10000.4469691314
6312.33689,0.00403507325275735,750064.234829088,380.296694626775,10000.8564643878
6312.34689,0.004040183025573,750097.610650984,380.77827936895,10001.3014753465
6312.35688,0.00404535815487535,750133.650150542,381.266023814879,10001.7820020072
6312.36688,0.00405059864066441,750172.353327762,381.759927964563,10002.2980443702
6312.37688,0.00405590448294017,750213.720182643,382.259991818003,10002.8496024352
6312.38688,0.00406127568170265,750257.750715187,382.766215375198,10003.4366762025
6312.39687,0.00406671223695182,750304.444925391,383.278598636147,10004.0592656719
6312.40687,0.00407221414868771,750353.802813258,383.797141600852,10004.7173708434
6312.41687,0.0040777814169103,750405.824378787,384.321844269311,10005.4109917172
