Time,Velocity,Pressure,Gamma,Tau
8100.25149,0.00179577697425968,553810.20422316,169.247992494598,7384.13605630881
8100.26149,0.0018037597477387,553764.41874904,170.000351170106,7383.52558332053
8100.27149,0.00181176118156596,553720.294824045,170.754468542003,7382.93726432059
8100.28148,0.00181978127574146,553677.832448174,171.510344610289,7382.37109930898
8100.29148,0.00182782003026522,553637.031621428,172.267979374965,7381.82708828571
8100.30148,0.00183587744513722,553597.892343807,173.027372836029,7381.30523125076
8100.31148,0.00184395352035747,553560.414615311,173.788524993482,7380.80552820415
8100.32147,0.00185204825592597,553524.59843594,174.551435847324,7380.32797914586
8100.33147,0.00186016165184271,553490.443805694,175.316105397556,7379.87258407591
8100.34147,0.0018682937081077,553457.950724572,176.082533644176,7379.43934299429
8100.35146,0.00187644442472094,553427.119192576,176.850720587185,7379.02825590101
8100.36146,0.00188461380168243,553397.949209704,177.620666226583,7378.63932279605
8100.37146,0.00189280183899216,553370.440775957,178.392370562371,7378.27254367942
8100.38146,0.00190100853665014,553344.593891335,179.165833594547,7377.92791855113
8100.39145,0.00190923389465636,553320.408555838,179.941055323112,7377.60544741117
8100.40145,0.00191747791301084,553297.884769465,180.718035748066,7377.30513025954
8100.41145,0.00192574059171356,553277.022532218,181.496774869409,7377.02696709624
8100.42145,0.00193402193076453,553257.821844096,182.277272687142,7376.77095792128
8100.43144,0.00194232193016374,553240.282705098,183.059529201263,7376.53710273464
8100.44144,0.00195064058991121,553224.405115225,183.843544411773,7376.32540153633
8100.45144,0.00195897791000692,553210.189074478,184.629318318672,7376.13585432637
8100.46144,0.00196733389045087,553197.634582854,185.416850921961,7375.96846110472
8100.47143,0.00197570853124308,553186.741640356,186.206142221638,7375.82322187141
8100.48143,0.00198410183238353,553177.510246983,186.997192217704,7375.70013662644
8100.49143,0.00199251379387223,553169.940402734,187.790000910159,7375.59920536979
8100.50143,0.00200094441570917,553164.03210761,188.584568299004,7375.52042810147
8100.51142,0.00200939369789436,553159.785361612,189.380894384237,7375.46380482149
8100.52142,0.0020178616404278,553157.200164738,190.178979165859,7375.42933552984
8100.53142,0.00202634824330949,553156.276516989,190.97882264387,7375.41702022652
8100.54142,0.00203485350653943,553157.014418365,191.780424818271,7375.42685891153
