VeriAdlari,A,B,GammaMax,GammaMin,GoodnessVal
1_kap_4_pokus0.dat,3305.44059645101,0.183986988835344,543.232667743779,237.040737799467,0.996702325924171
2_kap_4_pokus3.dat,3579.5527397085,0.172724297334114,714.071345541452,361.711132006394,0.955178798297441
3_kap_4_pokus5.dat,3261.54238663688,0.184715585811418,734.429351658826,252.183865405305,0.998139989814841
4_kap_4_pokus7.dat,3188.38781407881,0.174786095914618,556.368779174041,147.888426172239,0.995739964025731
5_kap_4_pokus8.dat,3306.91299498021,0.14766180114618,595.943620546806,169.247992494598,0.882416810333948
