Time,Velocity,Pressure,Gamma,Tau
3282.87546,0.00200599401922332,303477.38414521,47.2651205545278,8092.73024387228
3282.88546,0.00201196891357974,303802.907295727,47.4059006861487,8101.41086121938
3282.89546,0.00201800947182778,304128.591251025,47.5482279867658,8110.09576669401
3282.90545,0.00202411569396742,304454.436011105,47.6921024563789,8118.78496029615
3282.91545,0.00203028757999867,304780.441575968,47.8375240949882,8127.47844202581
3282.92545,0.00203652512992152,305106.607945612,47.9844929025934,8136.176211883
3282.93545,0.00204282834373598,305432.935120039,48.1330088791947,8144.8782698677
3282.94544,0.00204919722144205,305759.423099247,48.2830720247922,8153.58461597993
3282.95544,0.00205563176303972,306086.071883238,48.4346823393856,8162.29525021967
3282.96544,0.002062131968529,306412.88147201,48.5878398229752,8171.01017258693
3282.97544,0.00206869783790988,306739.851865564,48.7425444755608,8179.72938308172
3282.98543,0.00207532937118237,307066.983063901,48.8987962971425,8188.45288170403
3282.99543,0.00208202656834647,307394.27506702,49.0565952877202,8197.18066845386
3283.00543,0.00208878942940217,307721.72787492,49.215941447294,8205.9127433312
3283.01543,0.00209561795434948,308049.341487603,49.3768347758639,8214.64910633607
3283.02542,0.00210251214318839,308377.115905067,49.5392752734299,8223.38975746846
3283.03542,0.00210947199591891,308705.051127314,49.7032629399919,8232.13469672836
3283.04542,0.00211649751254104,309033.147154342,49.8687977755499,8240.8839241158
3283.05541,0.00212358869305477,309361.403986153,50.0358797801041,8249.63743963075
3283.06541,0.0021307455374601,309689.821622746,50.2045089536542,8258.39524327322
3283.07541,0.00213796804575705,310018.40006412,50.3746852962006,8267.1573350432
3283.08541,0.0021452562179456,310347.139310277,50.5464088077429,8275.92371494072
3283.0954,0.00215261005402575,310676.039361216,50.7196794882813,8284.69438296575
3283.1054,0.00216002955399752,311005.100216936,50.8944973378158,8293.4693391183
3283.1154,0.00216751471786088,311334.321877439,51.0708623563463,8302.24858339838
3283.1254,0.00217506554561586,311663.704342724,51.2487745438729,8311.03211580597
3283.13539,0.00218268203726244,311993.24761279,51.4282339003956,8319.81993634107
3283.14539,0.00219036419280062,312322.951687639,51.6092404259143,8328.61204500371
3283.15539,0.00219811201223042,312652.81656727,51.7917941204292,8337.40844179386
3283.16539,0.00220592549555182,312982.842251683,51.97589498394,8346.20912671154
3283.17538,0.00221380464276482,313313.028740878,52.161543016447,8355.01409975673
3283.18538,0.00222174945386943,313643.376034855,52.34873821795,8363.82336092945
3283.19538,0.00222975992886564,313973.884133613,52.537480588449,8372.63691022968
3283.20538,0.00223783606775347,314304.553037154,52.7277701279442,8381.45474765744
3283.21537,0.0022459778705329,314635.382745477,52.9196068364355,8390.27687321272
3283.22537,0.00225418533720393,314966.373258582,53.1129907139227,8399.10328689552
3283.23537,0.00226245846776657,315297.524576469,53.3079217604061,8407.93398870583
3283.24537,0.00227079726222082,315628.836699138,53.5043999758855,8416.76897864367
3283.25536,0.00227920172056667,315960.309626588,53.702425360361,8425.60825670903
3283.26536,0.00228767184280413,316291.943358821,53.9019979138325,8434.45182290191
3283.27536,0.00229620762893319,316623.737895837,54.1031176363001,8443.29967722231
3283.28536,0.00230480907895386,316955.693237633,54.3057845277638,8452.15181967022
3283.29535,0.00231347619286614,317287.809384212,54.5099985882236,8461.00825024566
3283.30535,0.00232220897067002,317620.086335574,54.7157598176794,8469.86896894863
3283.31535,0.00233100741236551,317952.524091716,54.9230682161313,8478.7339757791
3283.32534,0.0023398715179526,318285.122652641,55.1319237835792,8487.6032707371
3283.33534,0.00234880128743131,318617.882018348,55.3423265200233,8496.47685382263
3283.34534,0.00235779672080161,318950.802188838,55.5542764254634,8505.35472503567
3283.35534,0.00236685781806352,319283.883164109,55.7677734998995,8514.23688437624
3283.36533,0.00237598457921704,319617.124944162,55.9828177433317,8523.12333184432
3283.37533,0.00238517700426217,319950.527528997,56.19940915576,8532.01406743992
3283.38533,0.0023944350931989,320284.090918614,56.4175477371844,8540.90909116305
3283.39533,0.00240375884602724,320617.815113013,56.6372334876048,8549.80840301369
3283.40532,0.00241314826274718,320951.700112195,56.8584664070213,8558.71200299186
3283.41532,0.00242260334335872,321285.745916158,57.0812464954338,8567.61989109754
3283.42532,0.00243212408786188,321619.952524903,57.3055737528425,8576.53206733075
3283.43532,0.00244171049625664,321954.31993843,57.5314481792472,8585.44853169147
3283.44531,0.00245136256854301,322288.848156739,57.7588697746479,8594.36928417972
3283.45531,0.00246108030472098,322623.537179831,57.9878385390447,8603.29432479548
3283.46531,0.00247086370479056,322958.387007704,58.2183544724376,8612.22365353877
3283.47531,0.00248071276875175,323293.397640359,58.4504175748266,8621.15727040958
3283.4853,0.00249062749660454,323628.569077797,58.6840278462116,8630.09517540791
3283.4953,0.00250060788834893,323963.901320016,58.9191852865926,8639.03736853375
3283.5053,0.00251065394398493,324299.394367017,59.1558898959698,8647.98384978712
3283.5153,0.00252076566351255,324635.048218801,59.3941416743431,8656.93461916802
3283.52529,0.00253094304693176,324970.862875366,59.6339406217124,8665.88967667643
3283.53529,0.00254118609424258,325306.838336713,59.8752867380777,8674.84902231235
3283.54529,0.00255149480544501,325642.974602843,60.1181800234392,8683.8126560758
3283.55528,0.00256186918053904,325979.271673754,60.3626204777966,8692.78057796678
3283.56528,0.00257230921952468,326315.729549448,60.6086081011502,8701.75278798527
3283.57528,0.00258281492240193,326652.348229923,60.8561428934999,8710.72928613128
3283.58528,0.00259338628917078,326989.127715181,61.1052248548455,8719.71007240482
3283.59527,0.00260402331983123,327326.06800522,61.3558539851873,8728.69514680587
3283.60527,0.0026147260143833,327663.169100042,61.6080302845251,8737.68450933444
3283.61527,0.00262549437282696,328000.430999645,61.861753752859,8746.67815999054
3283.62527,0.00263632839516224,328337.853704031,62.117024390189,8755.67609877415
3283.63526,0.00264722808138912,328675.437213198,62.373842196515,8764.67832568528
3283.64526,0.00265819343150761,329013.181527148,62.6322071718371,8773.68484072394
3283.65526,0.0026692244455177,329351.086645879,62.8921193161552,8782.69564389012
3283.66526,0.0026803211234194,329689.152569393,63.1535786294695,8791.71073518381
3283.67525,0.00269148346521271,330027.379297689,63.4165851117798,8800.73011460503
3283.68525,0.00270271147089762,330365.766830766,63.6811387630861,8809.75378215377
3283.69525,0.00271400514047414,330704.315168626,63.9472395833886,8818.78173783002
3283.70525,0.00272536447394226,331043.024311268,64.2148875726871,8827.8139816338
3283.71524,0.00273678947130199,331381.894258691,64.4840827309817,8836.8505135651
3283.72524,0.00274828013255332,331720.925010897,64.7548250582722,8845.89133362392
3283.73524,0.00275983645769627,332060.116567885,65.027114554559,8854.93644181025
3283.74524,0.00277145844673081,332399.468929654,65.3009512198417,8863.98583812411
3283.75523,0.00278314609965697,332738.982096206,65.5763350541206,8873.0395225655
3283.76523,0.00279489941647472,333078.65606754,65.8532660573954,8882.09749513439
3283.77523,0.00280671839718409,333418.490843656,66.1317442296664,8891.15975583081
3283.78522,0.00281860304178506,333758.486424553,66.4117695709335,8900.22630465476
3283.79522,0.00283055335027764,334098.642810233,66.6933420811966,8909.29714160622
3283.80522,0.00284256932266182,334438.960000695,66.9764617604557,8918.3722666852
3283.81522,0.00285465095893761,334779.437995939,67.261128608711,8927.4516798917
3283.82521,0.00286679825910501,335120.076795965,67.5473426259623,8936.53538122573
3283.83521,0.00287901122316401,335460.876400772,67.8351038122097,8945.62337068727
3283.84521,0.00289128985111462,335801.836810362,68.1244121674531,8954.71564827633
3283.85521,0.00290363414295683,336142.958024735,68.4152676916926,8963.81221399292
3283.8652,0.00291604409869065,336484.240043888,68.7076703849281,8972.91306783702
3283.8752,0.00292851971831608,336825.682867824,69.0016202471598,8982.01820980865
3283.8852,0.00294106100183311,337167.286496543,69.2971172783875,8991.1276399078
3283.8952,0.00295366794924175,337509.050930042,69.5941614786113,9000.24135813447
3283.90519,0.00296634056054199,337850.976168324,69.8927528478311,9009.35936448865
3283.91519,0.00297907883573384,338193.062211388,70.1928913860471,9018.48165897035
3283.92519,0.0029918827748173,338535.309059234,70.494577093259,9027.60824157958
3283.93519,0.00300475237779236,338877.716711862,70.797809969467,9036.73911231633
3283.94518,0.00301768764465903,339220.285169272,71.1025900146711,9045.8742711806
3283.95518,0.0030306885754173,339563.014431464,71.4089172288714,9055.01371817238
3283.96518,0.00304375517006718,339905.904498439,71.7167916120676,9064.1574532917
3283.97518,0.00305688742860867,340248.955370195,72.0262131642599,9073.30547653852
3283.98517,0.00307008535104176,340592.167046733,72.3371818854483,9082.45778791288
3283.99517,0.00308334893736646,340935.539528053,72.6496977756326,9091.61438741475
3284.00517,0.00309667818758276,341279.072814155,72.9637608348132,9100.77527504413
3284.01517,0.00311007310169067,341622.766905039,73.2793710629898,9109.94045080105
3284.02516,0.00312353367969019,341966.621800706,73.5965284601624,9119.10991468548
3284.03516,0.00313705992158131,342310.637501154,73.9152330263311,9128.28366669744
3284.04516,0.00315065182736404,342654.814006384,74.2354847614959,9137.4617068369
3284.05515,0.00316430939703837,342999.151316396,74.5572836656568,9146.6440351039
3284.06515,0.00317803263060431,343343.64943119,74.8806297388137,9155.83065149841
3284.07515,0.00319182152806186,343688.308350767,75.2055229809666,9165.02155602044
3284.08515,0.00320567608941101,344033.128075125,75.5319633921157,9174.21674867
3284.09514,0.00321959631465177,344378.108604265,75.8599509722608,9183.41622944708
3284.10514,0.00323358220378414,344723.249938188,76.189485721402,9192.61999835167
3284.11514,0.0032476337568081,345068.552076892,76.5205676395392,9201.82805538378
3284.12514,0.00326175097372368,345414.015020378,76.8531967266725,9211.04040054342
3284.13513,0.00327593385453087,345759.638768647,77.1873729828019,9220.25703383058
3284.14513,0.00329018239922965,346105.423321697,77.5230964079274,9229.47795524525
3284.15513,0.00330449660782005,346451.368679529,77.8603670020489,9238.70316478745
3284.16513,0.00331887648030205,346797.474842144,78.1991847651665,9247.93266245717
3284.17512,0.00333332201667565,347143.74180954,78.5395496972801,9257.16644825441
3284.18512,0.00334783321694086,347490.169581719,78.8814617983898,9266.40452217917
3284.19512,0.00336241008109768,347836.758158679,79.2249210684955,9275.64688423145
3284.20512,0.00337705260914611,348183.507540422,79.5699275075975,9284.89353441125
3284.21511,0.00339176080108614,348530.417726946,79.9164811156954,9294.14447271857
3284.22511,0.00340653465691777,348877.488718253,80.2645818927893,9303.39969915341
3284.23511,0.00342137417664102,349224.720514341,80.6142298388794,9312.65921371577
3284.24511,0.00343627936025587,349572.113115212,80.9654249539656,9321.92301640565
3284.2551,0.00345125020776232,349919.666520864,81.3181672380476,9331.19110722305
3284.2651,0.00346628671916038,350267.380731299,81.672456691126,9340.46348616797
3284.2751,0.00348138889445005,350615.255746516,82.0282933132003,9349.74015324041
3284.28509,0.00349655673363132,350963.291566514,82.3856771042706,9359.02110844038
3284.29509,0.0035117902367042,351311.488191295,82.7446080643371,9368.30635176786
3284.30509,0.00352708940366869,351659.845620857,83.1050861933996,9377.59588322286
3284.31509,0.00354245423452478,352008.363855202,83.4671114914583,9386.88970280539
3284.32508,0.00355788472927248,352357.042894329,83.8306839585129,9396.18781051544
3284.33508,0.00357338088791178,352705.882738238,84.1958035945636,9405.490206353
3284.34508,0.00358894271044269,353054.883386928,84.5624703996104,9414.79689031809
3284.35508,0.0036045701968652,353404.044840401,84.9306843736532,9424.10786241069
3284.36507,0.00362026334717932,353753.367098656,85.3004455166922,9433.42312263083
3284.37507,0.00363602216138505,354102.850161692,85.6717538287272,9442.74267097846
3284.38507,0.00365184663948238,354452.494029511,86.0446093097582,9452.06650745364
3284.39507,0.00366773678147132,354802.298702112,86.4190119597854,9461.39463205632
3284.40506,0.00368369258735187,355152.264179495,86.7949617788086,9470.72704478653
3284.41506,0.00369971405712402,355502.39046166,87.1724587668278,9480.06374564426
3284.42506,0.00371580119078777,355852.677548607,87.5515029238431,9489.40473462951
3284.43506,0.00373195398834314,356203.125440335,87.9320942498545,9498.75001174228
3284.44505,0.00374817244979011,356553.734136846,88.3142327448619,9508.09957698257
3284.45505,0.00376445657512868,356904.503638139,88.6979184088654,9517.45343035038
3284.46505,0.00378080636435886,357255.433944214,89.083151241865,9526.81157184571
3284.47505,0.00379722181748065,357606.525055071,89.4699312438608,9536.17400146856
3284.48504,0.00381370293449405,357957.77697071,89.8582584148525,9545.54071921893
3284.49504,0.00383024971539904,358309.189691131,90.2481327548402,9554.91172509682
3284.50504,0.00384686216019565,358660.763216334,90.6395542638241,9564.28701910224
3284.51504,0.00386354026888386,359012.497546319,91.032522941804,9573.66660123517
3284.52503,0.00388028404146368,359364.392681086,91.42703878878,9583.05047149562
3284.53503,0.00389709347793511,359716.448620635,91.8231018047522,9592.43862988359
3284.54503,0.00391396857829813,360068.665364966,92.2207119897202,9601.8310763991
3284.55502,0.00393090934255277,360421.042914079,92.6198693436844,9611.22781104211
3284.56502,0.00394791577069901,360773.581267974,93.0205738666446,9620.62883381264
3284.57502,0.00396498786273685,361126.280426651,93.4228255586009,9630.0341447107
3284.58502,0.00398212561866631,361479.14039011,93.8266244195534,9639.44374373628
3284.59501,0.00399932903848737,361832.161158351,94.2319704495019,9648.85763088937
3284.60501,0.00401659812220003,362185.342731375,94.6388636484464,9658.27580616999
3284.61501,0.00403393286980431,362538.68510918,95.047304016387,9667.69826957812
3284.62501,0.00405133328130018,362892.188291767,95.4572915533236,9677.12502111378
3284.635,0.00406879935668767,363245.852279136,95.8688262592564,9686.55606077696
3284.645,0.00408633109596676,363599.677071287,96.2819081341852,9695.99138856766
3284.655,0.00410392849913745,363953.662668221,96.6965371781101,9705.43100448588
3284.665,0.00412159156619975,364307.809069936,97.1127133910309,9714.87490853162
3284.67499,0.00413932029715366,364662.116276433,97.530436772948,9724.32310070488
3284.68499,0.00415711469199917,365016.584287712,97.949707323861,9733.77558100567
3284.69499,0.0041749747507363,365371.213103774,98.3705250437702,9743.23234943396
3284.70499,0.00419290047336502,365726.002724617,98.7928899326754,9752.69340598979
3284.71498,0.00421089185988535,366080.953150242,99.2168019905766,9762.15875067313
3284.72498,0.00422894891029729,366436.06438065,99.6422612174739,9771.62838348399
3284.73498,0.00424707162460084,366791.336415839,100.069267613367,9781.10230442237
3284.74498,0.00426526000279598,367146.769255811,100.497821178257,9790.58051348828
3284.75497,0.00428351404488274,367502.362900564,100.927921912142,9800.0630106817
3284.76497,0.00430183375086111,367858.117350099,101.359569815024,9809.54979600264
3284.77497,0.00432021912073107,368214.032604416,101.792764886902,9819.04086945111
