VeriAdlari,A,B,GammaMax,GammaMin,GoodnessVal
10_kap_8_pokus7.dat,352.302523654381,0.276596487039473,17878.7300078493,3070.36882703531,0.95348911749867
11_kap_8_pokus8.dat,189.013512797601,0.34775320638295,14000.0520474667,3212.39123154102,0.999590947488815
12_kap_8_pokus9.dat,503.859127182,0.256819611763005,16424.8806422087,3213.91368932119,0.99188791425573
1_kap_8_pokus1.dat ,734.282105933114,0.218822638663079,14448.2307886822,1481.57652471682,0.965415653785444
2_kap_8_pokus10.dat,774.586549746489,0.211902175731471,17631.9988455951,886.290018818226,0.994438232665966
3_kap_8_pokus11.dat,669.867029904186,0.232379700263013,13115.8748063145,941.961178875476,0.983719730175049
6_kap_8_pokus3.dat ,635.95280586148,0.235376674224499,16337.1651537285,748.962043765337,0.995352021829812
7_kap_8_pokus4.dat ,981.314872630105,0.189957992821459,17035.7846268772,1343.49070919018,0.986142837666705
8_kap_8_pokus5.dat ,2.31664818058795,0.980846129211354,1976.48991794825,1886.6593250996,0.68031076180725
9_kap_8_pokus6.dat ,1414.20181969437,0.125911037915119,16917.3104602884,2375.58851328851,0.818793595475075
