VeriAdlari,A,B,C,GammaMax,GammaMin,GoodnessVal
10_kap_8_pokus7.dat,32591.4118454918,0.0375802073522606,-41521.3594666809,17878.7300078493,3070.36882703531,0.79852298578658
11_kap_8_pokus8.dat,294.315694000018,0.310570919335615,-489.330130232637,14000.0520474667,3212.39123154102,0.999639035159908
12_kap_8_pokus9.dat,15578.1670091511,0.0552358534645099,-20484.1537683983,16424.8806422087,3213.91368932119,0.984935639947276
1_kap_8_pokus1.dat ,43238.6834640837,0.0226392509376042,-47626.2864978016,14448.2307886822,1481.57652471682,0.950375856124234
2_kap_8_pokus10.dat,86.630678256568,0.393055347287732,2193.57016040098,17631.9988455951,886.290018818226,0.999077587623979
3_kap_8_pokus11.dat,13658.3770661055,0.0509015634153998,-16159.0558827688,13115.8748063145,941.961178875476,0.987596325298815
6_kap_8_pokus3.dat ,6558.44998030382,0.0820307800531198,-8400.66310333669,16337.1651537285,748.962043765337,0.998969254125226
7_kap_8_pokus4.dat ,43140.5611884666,0.0214628400483394,-46838.3773868745,17035.7846268772,1343.49070919018,0.971225580038196
8_kap_8_pokus5.dat ,1.27617412138376,1.07013035660444,-324.920591502759,1976.48991794825,1886.6593250996,0.657948468512961
9_kap_8_pokus6.dat ,88745.8080531788,0.011677919109138,-93989.1733513624,16917.3104602884,2375.58851328851,-0.192565635691404
