t,p1,p2,h
6277.11606,-0.00042,0.00086,0.3382
6277.12605,0.01549,0.00077,0.33823
6277.13605,-0.00051,0.00072,0.33829
6277.14605,0.01518,0.00086,0.33834
6277.15605,-0.00076,0.00099,0.3383
6277.16604,0.0152,0.001,0.33833
6277.17604,-0.0006,0.00089,0.33827
6277.18604,0.01533,0.00072,0.33826
6277.19604,-0.00053,0.00054,0.3382
6277.20603,0.01535,0.00053,0.33827
6277.21603,-0.0007,0.00072,0.33821
6277.22603,0.01521,0.00081,0.33823
6277.23602,-0.00067,0.00079,0.33818
6277.24602,0.0151,0.0009,0.33824
6277.25602,-0.00103,0.00093,0.3382
6277.26602,0.01475,0.00093,0.33819
6277.27601,-0.00112,0.00079,0.33815
6277.28601,0.01478,0.00066,0.33824
6277.29601,-0.00096,0.00088,0.33822
6277.30601,0.01505,0.00104,0.33823
6277.316,-0.00076,0.00087,0.33821
6277.326,0.01497,0.00081,0.33826
6277.336,-0.00089,0.00096,0.33819
6277.346,0.01506,0.00105,0.33818
6277.35599,-0.00067,0.00105,0.33822
6277.36599,0.01522,0.00108,0.3383
6277.37599,-0.00065,0.00115,0.3382
6277.38599,0.01518,0.00134,0.33823
6277.39598,-0.00078,0.00136,0.33827
6277.40598,0.01498,0.00133,0.33831
6277.41598,-0.00058,0.00126,0.33822
6277.42598,0.01551,0.00114,0.3383
6277.43597,-0.00037,0.00095,0.33828
6277.44597,0.01532,0.00082,0.33826
6277.45597,-0.00024,0.00068,0.33817
6277.46597,0.01579,0.0006,0.33817
6277.47596,0.00017,0.00047,0.33817
6277.48596,0.01592,0.00035,0.33823
6277.49596,-0.00032,0.0004,0.33816
6277.50595,0.01501,0.00059,0.33814
6277.51595,-0.00112,0.00069,0.33812
6277.52595,0.01449,0.00065,0.33821
6277.53595,-0.00119,0.00061,0.3382
6277.54594,0.01484,0.00063,0.33825
6277.55594,-0.0008,0.00058,0.33821
6277.56594,0.0149,0.00058,0.33815
6277.57594,-0.00113,0.00048,0.33812
6277.58593,0.01444,0.00045,0.33819
6277.59593,-0.00148,0.00058,0.33811
6277.60593,0.01437,0.00074,0.33818
6277.61593,-0.00104,0.00087,0.33826
6277.62592,0.01501,0.00106,0.33833
6277.63592,-0.00079,0.00103,0.33823
6277.64592,0.01485,0.00101,0.33823
6277.65592,-0.00091,0.00103,0.3382
6277.66591,0.01479,0.00095,0.33831
6277.67591,-0.00085,0.00078,0.33826
6277.68591,0.0152,0.00061,0.33824
6277.69591,1e-05,0.00046,0.33813
6277.7059,0.01607,0.0003,0.3382
6277.7159,0.00036,0.00034,0.33822
6277.7259,0.01626,0.00037,0.33827
6277.73589,0.00068,0.00038,0.33818
6277.74589,0.01642,0.00067,0.33821
6277.75589,0.0004,0.00086,0.33817
6277.76589,0.01569,0.00088,0.33823
6277.77588,-0.00023,0.00094,0.33821
6277.78588,0.01531,0.00104,0.33827
6277.79588,-0.0004,0.0011,0.33825
6277.80588,0.01525,0.00108,0.33825
6277.81587,-0.00052,0.00087,0.3382
6277.82587,0.01494,0.00068,0.33821
6277.83587,-0.00108,0.00063,0.33817
6277.84587,0.01441,0.00068,0.33826
6277.85586,-0.00124,0.00054,0.33821
6277.86586,0.01458,0.00041,0.3382
6277.87586,-0.00112,0.00034,0.33811
6277.88586,0.01442,0.00031,0.33819
6277.89585,-0.00132,0.00037,0.3382
6277.90585,0.01453,0.00036,0.33824
6277.91585,-0.00089,0.00014,0.33822
6277.92585,0.01497,2e-05,0.33822
6277.93584,-0.00063,-1e-05,0.3382
6277.94584,0.01493,0.00015,0.33827
6277.95584,-0.00077,0.00039,0.33818
6277.96583,0.01487,0.00048,0.33818
6277.97583,-0.00082,0.00038,0.33809
6277.98583,0.01481,0.00041,0.33813
6277.99583,-0.00066,0.00045,0.33807
6278.00582,0.01494,0.00044,0.33816
6278.01582,-0.00085,0.00055,0.33814
6278.02582,0.01467,0.00072,0.33821
6278.03582,-0.00097,0.00073,0.33821
6278.04581,0.01486,0.00074,0.3383
6278.05581,-0.00039,0.00073,0.33826
6278.06581,0.01526,0.00076,0.33834
6278.07581,-0.00034,0.00074,0.33832
6278.0858,0.01515,0.00072,0.33834
6278.0958,-0.0006,0.00071,0.33824
6278.1058,0.01491,0.00072,0.3382
6278.1158,-0.00093,0.00069,0.33815
6278.12579,0.01435,0.00062,0.33821
6278.13579,-0.00135,0.00043,0.33822
6278.14579,0.01433,0.00015,0.33833
6278.15579,-0.001,0.00023,0.33834
6278.16578,0.01482,0.00051,0.33841
6278.17578,-0.00072,0.00039,0.3384
6278.18578,0.01492,0.00016,0.33844
6278.19578,-0.00063,0.00015,0.33832
6278.20577,0.01482,0.00027,0.33835
6278.21577,-0.00086,0.00036,0.33828
6278.22577,0.01469,0.00051,0.3383
6278.23576,-0.00088,0.00056,0.33826
6278.24576,0.01479,0.00056,0.33826
6278.25576,-0.00068,0.00051,0.33825
6278.26576,0.01478,0.00053,0.33832
6278.27575,-0.00085,0.00044,0.33831
6278.28575,0.01464,0.00028,0.33834
6278.29575,-0.00073,0.00022,0.33831
6278.30575,0.01474,0.0002,0.33835
6278.31574,-0.00071,7e-05,0.33829
6278.32574,0.01467,-5e-05,0.33833
6278.33574,-0.00093,-0.0002,0.33828
6278.34574,0.01462,-0.00019,0.33835
6278.35573,-0.00094,-9e-05,0.3383
6278.36573,0.01432,1e-05,0.33835
6278.37573,-0.00124,0.0001,0.33829
6278.38573,0.0143,9e-05,0.33832
6278.39572,-0.00105,0.00013,0.33821
6278.40572,0.01443,0.00023,0.33822
6278.41572,-0.00092,0.00018,0.33825
6278.42572,0.01457,0.00012,0.33831
6278.43571,-0.00094,8e-05,0.33823
6278.44571,0.01435,-1e-05,0.33819
6278.45571,-0.00107,-0.00013,0.33813
6278.4657,0.01443,-0.00023,0.33825
6278.4757,-0.00102,-0.00018,0.33826
6278.4857,0.01427,0.00015,0.33826
6278.4957,-0.0012,0.00047,0.33818
6278.50569,0.01434,0.00043,0.33822
6278.51569,-0.00109,0.00015,0.33821
6278.52569,0.01441,0.00016,0.33826
6278.53569,-0.00071,0.00031,0.33816
6278.54568,0.0149,0.00038,0.33821
6278.55568,-0.00054,0.00034,0.3382
6278.56568,0.01491,0.00047,0.33827
6278.57568,-0.00031,0.00057,0.33825
6278.58567,0.01497,0.00054,0.33832
6278.59567,-0.00055,0.00039,0.33829
6278.60567,0.01476,0.00037,0.33823
6278.61567,-0.00047,0.00032,0.3381
6278.62566,0.01508,0.00028,0.33812
6278.63566,-0.00024,0.00031,0.33813
6278.64566,0.01504,0.0003,0.33819
6278.65566,-0.00033,0.00034,0.3382
6278.66565,0.01504,0.00052,0.3383
6278.67565,-0.0004,0.00059,0.33822
6278.68565,0.01486,0.00059,0.33824
6278.69564,-0.00062,0.0005,0.33823
6278.70564,0.01464,0.00036,0.33828
6278.71564,-0.00081,0.00046,0.33823
6278.72564,0.0145,0.00057,0.33827
6278.73563,-0.00056,0.00032,0.33825
6278.74563,0.01489,0.00019,0.33823
6278.75563,-0.0005,0.00038,0.33811
6278.76563,0.0148,0.00065,0.33822
6278.77562,-0.00041,0.00067,0.3382
6278.78562,0.0147,0.00061,0.33824
6278.79562,-0.00073,0.00066,0.33829
6278.80562,0.01454,0.00061,0.3384
6278.81561,-0.00085,0.00052,0.33831
6278.82561,0.01444,0.00053,0.33832
6278.83561,-0.00099,0.00048,0.33829
6278.84561,0.01431,0.00052,0.33831
6278.8556,-0.00099,0.00056,0.33826
6278.8656,0.01436,0.00033,0.33832
6278.8756,-0.00081,0.00017,0.33823
6278.8856,0.01446,0.00019,0.3383
6278.89559,-0.00091,0.00029,0.33831
6278.90559,0.01421,0.00044,0.33833
6278.91559,-0.00087,0.00051,0.33823
6278.92559,0.01465,0.00042,0.33827
6278.93558,-0.0007,0.00023,0.33824
6278.94558,0.01464,0.00024,0.33829
6278.95558,-0.0004,0.00037,0.33829
6278.96557,0.01473,0.00045,0.33832
6278.97557,-0.00044,0.00031,0.33817
6278.98557,0.01502,6e-05,0.33818
6278.99557,-2e-05,3e-05,0.33815
6279.00556,0.01516,0.00023,0.33819
6279.01556,-0.00026,0.00039,0.33813
6279.02556,0.01491,0.0005,0.33813
6279.03556,-0.00028,0.00051,0.33806
6279.04555,0.01487,0.00065,0.33804
6279.05555,-0.0002,0.00069,0.33797
6279.06555,0.01502,0.00064,0.33809
6279.07555,-0.00012,0.00068,0.33809
6279.08554,0.01505,0.00088,0.33813
6279.09554,0,0.00112,0.33815
6279.10554,0.01519,0.00111,0.33823
6279.11554,-4e-05,0.00083,0.33824
6279.12553,0.015,0.00064,0.33827
6279.13553,-0.00026,0.00049,0.33818
6279.14553,0.01466,0.00038,0.33822
6279.15553,-0.00058,0.00042,0.33819
6279.16552,0.01479,0.0006,0.3383
6279.17552,-0.00022,0.00064,0.33836
6279.18552,0.01479,0.00057,0.33834
6279.19551,-0.00031,0.00047,0.33823
6279.20551,0.01487,0.00043,0.33827
6279.21551,-0.00022,0.00033,0.33824
6279.22551,0.01484,0.00054,0.33827
6279.2355,-0.00028,0.00082,0.33818
6279.2455,0.01484,0.00077,0.33818
6279.2555,-0.00016,0.00061,0.33816
6279.2655,0.015,0.00055,0.33822
6279.27549,-0.00023,0.00058,0.33817
6279.28549,0.0145,0.00071,0.33822
6279.29549,-0.00077,0.00073,0.33819
6279.30549,0.01418,0.00067,0.3382
6279.31548,-0.00079,0.00061,0.3381
6279.32548,0.01443,0.00064,0.33812
6279.33548,-0.00033,0.00056,0.3381
6279.34548,0.01492,0.00053,0.33813
