t,p1,p2,h
6767.72835,-0.00242,0.00057,0.36037
6767.73835,0.0081,0.00053,0.36038
6767.74834,-0.00297,0.00043,0.36034
6767.75834,0.00813,0.00033,0.36034
6767.76834,-0.00223,0.00038,0.36029
6767.77834,0.0089,0.00026,0.36024
6767.78833,-0.00181,0.0002,0.3603
6767.79833,0.00909,0.0002,0.36044
6767.80833,-0.00202,0.00044,0.3604
6767.81833,0.00885,0.00059,0.36041
6767.82832,-0.00207,0.00056,0.36044
6767.83832,0.00876,0.00038,0.36048
6767.84832,-0.00234,0.00025,0.36041
6767.85832,0.00854,0.00026,0.36036
6767.86831,-0.00237,0.00039,0.36035
6767.87831,0.00882,0.00053,0.36052
6767.88831,-0.00214,0.00051,0.36052
6767.8983,0.00877,0.00044,0.36047
6767.9083,-0.00247,0.00049,0.36038
6767.9183,0.00852,0.00051,0.36045
6767.9283,-0.00255,0.00036,0.36053
6767.93829,0.00839,8e-05,0.36053
6767.94829,-0.00277,0.00024,0.36042
6767.95829,0.00836,0.00059,0.3604
6767.96829,-0.00284,0.00059,0.36034
6767.97828,0.00828,0.00033,0.36032
6767.98828,-0.00288,0.00018,0.36027
6767.99828,0.00857,-5e-05,0.36028
6768.00828,-0.00228,-7e-05,0.36028
6768.01827,0.0091,-2e-05,0.36034
6768.02827,-0.00221,2e-05,0.36036
6768.03827,0.00894,1e-05,0.36043
6768.04827,-0.00237,3e-05,0.36042
6768.05826,0.00871,2e-05,0.36043
6768.06826,-0.00269,8e-05,0.3604
6768.07826,0.00865,0.00015,0.36039
6768.08826,-0.00253,0.00027,0.36038
6768.09825,0.00862,0.00035,0.36037
6768.10825,-0.0029,0.00031,0.36032
6768.11825,0.00831,0.00036,0.36041
6768.12824,-0.00307,0.00044,0.36044
6768.13824,0.00833,0.00036,0.36049
6768.14824,-0.00313,0.00019,0.36053
6768.15824,0.00828,0.00011,0.36056
6768.16823,-0.0028,0.00018,0.36051
6768.17823,0.00872,0.00016,0.36048
6768.18823,-0.00273,0.00012,0.36035
6768.19823,0.00873,-1e-05,0.36032
6768.20822,-0.0027,-0.00018,0.36031
6768.21822,0.00878,-0.0003,0.36042
6768.22822,-0.00268,-0.00018,0.3604
6768.23822,0.00864,-0.00017,0.36035
6768.24821,-0.00291,-0.00024,0.3603
6768.25821,0.00873,-0.00033,0.36032
6768.26821,-0.00258,-0.00037,0.36033
6768.27821,0.00917,-0.00049,0.36032
6768.2882,-0.00246,-0.00058,0.36032
6768.2982,0.0089,-0.00052,0.36044
6768.3082,-0.00259,-0.00041,0.36043
6768.3182,0.00927,-0.0004,0.36045
6768.32819,-0.00233,-0.00029,0.36039
6768.33819,0.00902,-0.00036,0.36039
6768.34819,-0.00264,-0.00064,0.36038
6768.35819,0.00892,-0.00078,0.3604
6768.36818,-0.0026,-0.00063,0.36042
6768.37818,0.00929,-0.00029,0.36046
6768.38818,-0.0022,-0.00036,0.36038
6768.39817,0.0094,-0.00063,0.36036
6768.40817,-0.00239,-0.00059,0.36035
6768.41817,0.00955,-0.00056,0.36044
6768.42817,-0.00201,-0.00042,0.36042
6768.43816,0.00954,-0.00032,0.36042
6768.44816,-0.00229,-0.00035,0.36043
6768.45816,0.00937,-0.00053,0.3605
6768.46816,-0.00238,-0.00057,0.36041
6768.47815,0.00933,-0.00041,0.36031
6768.48815,-0.00253,-0.00034,0.36025
6768.49815,0.00923,-0.00054,0.36031
6768.50815,-0.00254,-0.00059,0.36031
6768.51814,0.00942,-0.00043,0.36034
6768.52814,-0.00245,-0.00017,0.36034
6768.53814,0.00926,-1e-05,0.36039
6768.54814,-0.00255,-9e-05,0.36035
6768.55813,0.00936,-0.00031,0.36035
6768.56813,-0.00264,-0.00046,0.36035
6768.57813,0.00911,-0.0005,0.36041
6768.58813,-0.00269,-0.00052,0.36038
6768.59812,0.00942,-0.00067,0.36037
6768.60812,-0.00228,-0.00069,0.36033
6768.61812,0.00971,-0.00062,0.36034
6768.62811,-0.00222,-0.00049,0.3603
6768.63811,0.0096,-0.00027,0.36038
6768.64811,-0.00257,-9e-05,0.36037
6768.65811,0.00948,-2e-05,0.36034
6768.6681,-0.0025,4e-05,0.36027
6768.6781,0.00959,-0.00012,0.36028
6768.6881,-0.00229,-0.00017,0.36031
6768.6981,0.00981,-4e-05,0.3604
6768.70809,-0.00212,1e-05,0.36043
6768.71809,0.01004,-1e-05,0.36052
6768.72809,-0.00213,-7e-05,0.36048
6768.73809,0.0096,-0.00012,0.36045
6768.74808,-0.00272,6e-05,0.36039
6768.75808,0.00954,0.00019,0.36044
6768.76808,-0.00251,0.0002,0.36039
6768.77808,0.00951,8e-05,0.3604
6768.78807,-0.00272,0.00012,0.36037
6768.79807,0.00948,9e-05,0.36036
6768.80807,-0.0026,-5e-05,0.36035
6768.81807,0.0098,-0.00016,0.36038
6768.82806,-0.00206,-0.00033,0.36035
6768.83806,0.01012,-0.0005,0.36036
6768.84806,-0.00248,-0.00056,0.36035
6768.85805,0.00938,-0.00065,0.36038
6768.86805,-0.0031,-0.00064,0.36037
6768.87805,0.00935,-0.00069,0.36041
6768.88805,-0.00262,-0.00064,0.36034
6768.89804,0.00958,-0.00075,0.36033
6768.90804,-0.00294,-0.00095,0.36034
6768.91804,0.00949,-0.00098,0.36042
6768.92804,-0.00263,-0.00072,0.36044
6768.93803,0.01004,-0.00062,0.36043
6768.94803,-0.00193,-0.00047,0.36036
6768.95803,0.01054,-0.00033,0.36039
6768.96803,-0.00208,-0.00032,0.36032
6768.97802,0.01027,-0.00041,0.3603
6768.98802,-0.00204,-0.00045,0.36025
6768.99802,0.01004,-0.00043,0.36031
6769.00802,-0.00253,-0.00028,0.36034
6769.01801,0.00965,-0.00022,0.36037
6769.02801,-0.00315,-0.00021,0.36031
6769.03801,0.00923,-0.00029,0.36035
6769.04801,-0.00309,-0.00037,0.36038
6769.058,0.00948,-0.00032,0.36043
6769.068,-0.00292,-0.00014,0.36035
6769.078,0.00933,-0.00013,0.36034
6769.088,-0.00351,-0.00029,0.36036
6769.09799,0.00909,-0.00047,0.36044
6769.10799,-0.00307,-0.00051,0.36039
6769.11799,0.01018,-0.00049,0.36038
6769.12798,-0.00192,-0.00039,0.36036
6769.13798,0.01039,-0.00042,0.36042
6769.14798,-0.00267,-0.00039,0.36045
6769.15798,0.00962,-0.00035,0.36047
6769.16797,-0.00329,-0.00041,0.3604
6769.17797,0.00921,-0.00045,0.36037
6769.18797,-0.0032,-0.00037,0.36031
6769.19797,0.0097,-0.00022,0.36034
6769.20796,-0.00255,-0.00016,0.36036
6769.21796,0.01021,-0.00024,0.36041
