t,p1,p2,h
8075.51793,0.00059,0.00048,0.35237
8075.52793,-0.009,0.0006,0.35226
8075.53792,0.00067,0.00087,0.35231
8075.54792,-0.00913,0.001,0.35234
8075.55792,0.00038,0.00104,0.35243
8075.56792,-0.00967,0.00101,0.35236
8075.57791,2e-05,0.00091,0.35235
8075.58791,-0.00954,0.00073,0.35235
8075.59791,0.00046,0.00054,0.35235
8075.60791,-0.00907,0.00038,0.35229
8075.6179,0.00077,0.00031,0.35234
8075.6279,-0.00911,0.00032,0.35234
8075.6379,0.00039,0.00019,0.35241
8075.6479,-0.00939,3e-05,0.35239
8075.65789,0.00052,-9e-05,0.35242
8075.66789,-0.00912,-0.00016,0.35244
8075.67789,0.00052,-0.00021,0.35247
8075.68788,-0.00934,-0.00019,0.3524
8075.69788,0.00047,-6e-05,0.35239
8075.70788,-0.00912,-2e-05,0.35238
8075.71788,0.00064,-0.00013,0.35246
8075.72787,-0.00909,-0.00018,0.35244
8075.73787,0.00048,0.00013,0.3524
8075.74787,-0.00941,0.00048,0.35236
8075.75787,-7e-05,0.00068,0.35241
8075.76786,-0.0102,0.00058,0.35241
8075.77786,-0.00078,0.00038,0.3524
8075.78786,-0.01042,0.00027,0.35232
8075.79786,-0.00058,0.00027,0.3523
8075.80785,-0.01017,0.00045,0.35229
8075.81785,-0.00039,0.00062,0.35238
8075.82785,-0.00984,0.00058,0.35234
8075.83785,5e-05,0.00048,0.35241
8075.84784,-0.00952,0.00038,0.35243
8075.85784,9e-05,0.00037,0.35239
8075.86784,-0.00956,0.00016,0.35231
8075.87784,0.00012,0.00025,0.35239
8075.88783,-0.0094,0.00045,0.35237
8075.89783,0.00029,0.00043,0.35239
8075.90783,-0.00928,0.00051,0.35234
8075.91783,0.00053,0.0007,0.3524
8075.92782,-0.00913,0.00066,0.35236
8075.93782,0.00049,0.00067,0.35233
8075.94782,-0.00916,0.00068,0.35226
8075.95781,0.00041,0.00077,0.35232
8075.96781,-0.00919,0.00084,0.35232
8075.97781,0.00055,0.00097,0.35239
8075.98781,-0.00909,0.00091,0.35239
8075.9978,0.00047,0.00085,0.35239
