t,p1,p2,h
5759.44081,0.00425,0.00041,0.32988
5759.45081,-0.01175,0.00039,0.32987
5759.4608,0.0043,0.00029,0.32994
5759.4708,-0.0119,0.00024,0.32991
5759.4808,0.00378,0.00013,0.33002
5759.49079,-0.01268,-3e-05,0.33001
5759.50079,0.00292,-7e-05,0.33004
5759.51079,-0.01323,-8e-05,0.33002
5759.52079,0.00281,-0.00017,0.3301
5759.53078,-0.01324,-2e-05,0.33005
5759.54078,0.0028,0.00013,0.33004
5759.55078,-0.01305,8e-05,0.33
5759.56078,0.00308,9e-05,0.33002
5759.57077,-0.01298,0.0002,0.33004
5759.58077,0.00296,0.00025,0.33013
5759.59077,-0.0131,0.00025,0.33006
5759.60077,0.003,0.00015,0.32998
5759.61076,-0.01298,0.0001,0.32993
5759.62076,0.00306,-5e-05,0.32995
5759.63076,-0.01297,-0.00024,0.32988
5759.64076,0.00286,-0.00037,0.32991
5759.65075,-0.01329,-0.00047,0.32985
5759.66075,0.00278,-0.00051,0.32988
5759.67075,-0.01334,-0.00053,0.32986
5759.68075,0.00242,-0.00067,0.32993
5759.69074,-0.01376,-0.0007,0.3299
5759.70074,0.00215,-0.00058,0.32992
5759.71074,-0.01401,-0.00047,0.32985
5759.72073,0.00193,-0.00042,0.3299
5759.73073,-0.01401,-0.00035,0.32991
5759.74073,0.00202,-0.0004,0.32997
5759.75073,-0.0141,-0.00049,0.32991
5759.76072,0.00218,-0.00044,0.32994
5759.77072,-0.01366,-0.00043,0.32992
5759.78072,0.00241,-0.00065,0.33
5759.79072,-0.01348,-0.00083,0.32996
5759.80071,0.00276,-0.00077,0.33003
5759.81071,-0.01348,-0.00056,0.32991
5759.82071,0.00228,-0.00056,0.32988
5759.83071,-0.01381,-0.00043,0.32979
5759.8407,0.00229,-0.00023,0.32982
5759.8507,-0.0137,-0.00031,0.32981
5759.8607,0.00241,-0.00033,0.32987
5759.8707,-0.01367,-4e-05,0.32986
5759.88069,0.00233,0.00019,0.32989
5759.89069,-0.01374,0.00024,0.32991
5759.90069,0.00229,0.00021,0.32999
5759.91069,-0.01379,0.00018,0.32987
5759.92068,0.00239,8e-05,0.32986
5759.93068,-0.01336,-7e-05,0.32983
5759.94068,0.00262,-4e-05,0.32987
5759.95068,-0.01382,7e-05,0.32984
5759.96067,0.00189,0.00019,0.32993
5759.97067,-0.01409,0.0004,0.32995
5759.98067,0.00199,0.00056,0.32999
5759.99066,-0.01414,0.0006,0.32993
5760.00066,0.00194,0.00056,0.32996
5760.01066,-0.01394,0.00049,0.32995
5760.02066,0.00228,0.00042,0.32994
5760.03065,-0.01378,0.00024,0.32986
5760.04065,0.00234,2e-05,0.32997
5760.05065,-0.01339,-2e-05,0.32997
5760.06065,0.00285,0.0001,0.32999
5760.07064,-0.01322,0.00021,0.32993
5760.08064,0.00265,0.00026,0.33
5760.09064,-0.0136,0.00043,0.32995
5760.10064,0.0025,0.00056,0.32994
5760.11063,-0.01346,0.00049,0.32987
5760.12063,0.00265,0.00034,0.32988
5760.13063,-0.01339,0.00021,0.32983
5760.14063,0.00264,-3e-05,0.32988
5760.15062,-0.01353,-0.00036,0.32985
5760.16062,0.00246,-0.00058,0.32984
5760.17062,-0.01362,-0.00051,0.3298
5760.18062,0.00242,-0.00049,0.32984
5760.19061,-0.01353,-0.00048,0.32982
5760.20061,0.00268,-0.00042,0.32981
5760.21061,-0.01325,-0.00033,0.32976
5760.2206,0.00288,-0.00032,0.32984
5760.2306,-0.01306,-0.00034,0.32985
5760.2406,0.00292,-0.00037,0.32988
5760.2506,-0.0133,-0.00021,0.32983
5760.26059,0.00279,-2e-05,0.32985
5760.27059,-0.01328,0.00017,0.3299
5760.28059,0.00278,0.00017,0.32997
5760.29059,-0.01325,1e-05,0.32982
5760.30058,0.00265,-0.0001,0.32984
5760.31058,-0.01351,-5e-05,0.32986
5760.32058,0.0025,6e-05,0.32987
5760.33058,-0.01375,9e-05,0.32991
5760.34057,0.00247,2e-05,0.33003
5760.35057,-0.01332,0,0.33001
5760.36057,0.00281,0.00017,0.33001
5760.37057,-0.01323,0.00028,0.32991
5760.38056,0.00286,0.0002,0.3299
5760.39056,-0.01304,0.0001,0.32987
5760.40056,0.00307,-8e-05,0.32999
5760.41056,-0.01331,-0.00017,0.32998
5760.42055,0.00249,-0.00015,0.33002
5760.43055,-0.01347,-0.00017,0.33002
5760.44055,0.00295,-0.00016,0.3301
5760.45054,-0.01271,-0.00013,0.33004
5760.46054,0.00344,-0.00017,0.33007
5760.47054,-0.0128,-0.00032,0.33004
5760.48054,0.00319,-0.00049,0.33003
5760.49053,-0.01284,-0.0004,0.32997
5760.50053,0.00332,-0.00032,0.32998
5760.51053,-0.01279,-0.00026,0.32992
5760.52053,0.00316,-0,0.32994
5760.53052,-0.01307,0.00017,0.32992
5760.54052,0.00282,-4e-05,0.32994
5760.55052,-0.0133,-0.00023,0.32993
5760.56052,0.00287,-0.00022,0.32997
5760.57051,-0.01317,-0.0003,0.32988
5760.58051,0.00305,-0.00034,0.32989
5760.59051,-0.01279,-0.00023,0.32984
5760.60051,0.00333,-0.00025,0.32986
5760.6105,-0.01285,-0.0004,0.32978
5760.6205,0.00311,-0.00045,0.32981
5760.6305,-0.01291,-0.00052,0.32986
5760.6405,0.00327,-0.00079,0.32997
5760.65049,-0.01275,-0.00101,0.33
5760.66049,0.00315,-0.00078,0.33006
5760.67049,-0.01309,-0.00032,0.32998
5760.68049,0.00297,3e-05,0.32996
5760.69048,-0.01297,0.0001,0.3299
5760.70048,0.0033,1e-05,0.32994
5760.71048,-0.01267,2e-05,0.32995
5760.72047,0.00339,0.0002,0.33002
5760.73047,-0.01272,0.00045,0.32996
5760.74047,0.00331,0.00055,0.33
5760.75047,-0.01288,0.00036,0.33004
5760.76046,0.00311,0.00012,0.33008
5760.77046,-0.0129,-8e-05,0.33001
5760.78046,0.00318,-6e-05,0.33007
5760.79046,-0.01308,2e-05,0.33004
5760.80045,0.00284,2e-05,0.33003
5760.81045,-0.01325,-2e-05,0.32995
5760.82045,0.00309,-8e-05,0.33005
5760.83045,-0.01293,-0.00027,0.33006
5760.84044,0.00306,-0.00046,0.33007
5760.85044,-0.01307,-0.0005,0.33004
5760.86044,0.00313,-0.00039,0.33008
5760.87044,-0.01278,-0.00032,0.33
5760.88043,0.00344,-0.00032,0.33002
5760.89043,-0.01271,-0.00045,0.33
5760.90043,0.00312,-0.0005,0.33009
5760.91043,-0.01306,-0.00039,0.33008
5760.92042,0.00309,-0.00023,0.33009
5760.93042,-0.01291,-0.00013,0.33002
5760.94042,0.00337,-0.00015,0.33003
5760.95041,-0.01276,-1e-05,0.33
5760.96041,0.00307,1e-05,0.33005
5760.97041,-0.0133,6e-05,0.33002
5760.98041,0.00285,0.00035,0.33
5760.9904,-0.01324,0.00067,0.32995
5761.0004,0.00273,0.00075,0.32998
5761.0104,-0.0134,0.00069,0.32995
5761.0204,0.00272,0.00054,0.32999
5761.03039,-0.01337,0.00045,0.33001
5761.04039,0.00269,0.00052,0.33007
5761.05039,-0.01345,0.00059,0.33002
5761.06039,0.00241,0.00045,0.32999
5761.07038,-0.01369,0.00033,0.32991
5761.08038,0.00253,0.00036,0.32996
5761.09038,-0.01367,0.00019,0.33006
5761.10038,0.00236,-2e-05,0.33015
5761.11037,-0.01361,3e-05,0.33006
5761.12037,0.00276,0.00011,0.33008
5761.13037,-0.01308,2e-05,0.33008
5761.14037,0.00296,-5e-05,0.3301
5761.15036,-0.01313,-2e-05,0.33002
5761.16036,0.00313,9e-05,0.33007
5761.17036,-0.01308,0.00018,0.33005
5761.18036,0.00296,0.00025,0.33014
5761.19035,-0.0131,0.0004,0.3301
5761.20035,0.00289,0.00044,0.33009
5761.21035,-0.01344,0.00038,0.33006
5761.22034,0.00252,0.00041,0.33017
5761.23034,-0.0138,0.0005,0.33013
5761.24034,0.00218,0.00048,0.3301
5761.25034,-0.0137,0.00037,0.33001
5761.26033,0.00272,0.00024,0.33005
5761.27033,-0.01333,0.00016,0.33006
5761.28033,0.00254,0.00019,0.33011
5761.29033,-0.01386,0.0003,0.33003
5761.30032,0.00196,0.00039,0.33009
5761.31032,-0.01417,0.00057,0.33006
5761.32032,0.00207,0.00064,0.33005
5761.33032,-0.01395,0.00037,0.32998
5761.34031,0.00221,3e-05,0.33004
5761.35031,-0.01369,-0.00013,0.33001
5761.36031,0.00244,-0.0001,0.32997
5761.37031,-0.01374,0.00014,0.32991
5761.3803,0.00251,9e-05,0.33
5761.3903,-0.01334,-0.00015,0.32999
5761.4003,0.00275,-0.00043,0.3301
5761.4103,-0.01356,-0.00053,0.33007
5761.42029,0.00258,-0.00044,0.33009
5761.43029,-0.01326,-0.0004,0.33006
5761.44029,0.00305,-0.00043,0.33007
5761.45028,-0.01329,-0.00039,0.33
