t,p1,p2,h
7880.12879,0.00742,-0.00049,0.36067
7880.13879,0.00079,-0.00052,0.36061
7880.14878,0.00699,-0.00046,0.36064
7880.15878,0.00016,-0.00036,0.36061
7880.16878,0.00673,-0.00028,0.36062
7880.17878,0.00027,-0.0003,0.36062
7880.18877,0.0071,-0.00026,0.36067
7880.19877,0.00052,-0.00042,0.36058
7880.20877,0.00685,-0.00052,0.36059
7880.21877,0.0004,-0.0006,0.36063
7880.22876,0.00719,-0.0006,0.36075
7880.23876,0.00088,-0.00057,0.36071
7880.24876,0.00754,-0.00038,0.36069
7880.25876,0.00108,-0.00012,0.36064
7880.26875,0.00755,-6e-05,0.36068
7880.27875,0.00094,-9e-05,0.36062
7880.28875,0.00724,-0.00027,0.36066
7880.29875,0.00053,-0.00051,0.36066
7880.30874,0.00735,-0.0005,0.36062
7880.31874,0.00107,-0.00055,0.36052
7880.32874,0.00764,-0.0005,0.36049
7880.33873,0.00117,-0.00054,0.36045
7880.34873,0.00789,-0.00069,0.3605
7880.35873,0.00145,-0.00082,0.36056
7880.36873,0.0077,-0.00073,0.36062
7880.37872,0.00086,-0.0006,0.3606
7880.38872,0.00698,-0.00051,0.36063
7880.39872,0.00056,-0.00045,0.36061
7880.40872,0.00732,-0.00037,0.36069
7880.41871,0.00096,-0.00037,0.36073
7880.42871,0.00735,-0.00036,0.36071
7880.43871,0.00075,-0.00045,0.36061
7880.44871,0.00714,-0.00046,0.36066
7880.4587,0.00066,-0.00047,0.36071
7880.4687,0.00728,-0.00043,0.36079
7880.4787,0.00081,-0.00047,0.36075
7880.4887,0.00708,-0.00063,0.36074
7880.49869,0.00032,-0.00079,0.3607
7880.50869,0.00669,-0.00081,0.36067
7880.51869,0.00028,-0.00077,0.36065
7880.52869,0.00685,-0.00077,0.36069
7880.53868,0.00075,-0.00075,0.36069
7880.54868,0.00754,-0.0006,0.36067
7880.55868,0.001,-0.00051,0.36065
7880.56867,0.00705,-0.00043,0.36076
7880.57867,0.00035,-0.00037,0.36077
7880.58867,0.007,-0.00021,0.36079
7880.59867,0.00079,-0.00012,0.36067
7880.60866,0.00712,-0.00014,0.36062
7880.61866,0.00041,-0.00024,0.36059
7880.62866,0.00675,-0.00032,0.36059
7880.63866,0.0005,-0.00049,0.36056
7880.64865,0.00728,-0.00027,0.36059
7880.65865,0.00094,0,0.3606
7880.66865,0.00712,8e-05,0.36064
7880.67865,0.00049,-0.00013,0.36065
7880.68864,0.00679,-0.00033,0.3607
7880.69864,0.00047,-0.00034,0.36073
7880.70864,0.00698,-0.00023,0.36078
7880.71864,0.00053,-0.00031,0.36075
7880.72863,0.00704,-0.00028,0.36073
7880.73863,0.00098,-0.00021,0.36072
7880.74863,0.00735,-0.00026,0.36077
7880.75863,0.00104,-0.00039,0.36074
7880.76862,0.00746,-0.00041,0.36074
7880.77862,0.00079,-0.00044,0.36072
7880.78862,0.00705,-0.00028,0.36074
7880.79861,0.00082,-0.00027,0.36068
7880.80861,0.00725,-0.00047,0.36067
7880.81861,0.00096,-0.00044,0.36064
7880.82861,0.0073,-0.00029,0.36065
7880.8386,0.00071,-0.00031,0.36066
7880.8486,0.00699,-0.00033,0.36068
7880.8586,0.00067,-0.00044,0.36066
7880.8686,0.00703,-0.00049,0.3607
7880.87859,0.00078,-0.00039,0.36069
7880.88859,0.00722,-0.00029,0.36073
7880.89859,0.00086,-0.00045,0.36071
7880.90859,0.00705,-0.00047,0.36075
7880.91858,0.00062,-0.00052,0.36075
7880.92858,0.00686,-0.00055,0.36079
7880.93858,0.00081,-0.00049,0.36075
7880.94858,0.00727,-0.00051,0.36071
7880.95857,0.00082,-0.00077,0.36061
7880.96857,0.00698,-0.00092,0.36063
7880.97857,0.00096,-0.00089,0.3607
7880.98857,0.00735,-0.00076,0.36075
7880.99856,0.00122,-0.00075,0.36067
7881.00856,0.00751,-0.00071,0.36063
7881.01856,0.0008,-0.00071,0.36059
7881.02856,0.00671,-0.00068,0.36063
7881.03855,0.00057,-0.00071,0.36064
7881.04855,0.0069,-0.00059,0.36071
7881.05855,0.00069,-0.00055,0.36068
7881.06854,0.00708,-0.00056,0.36071
7881.07854,0.00061,-0.00051,0.36068
7881.08854,0.00656,-0.00047,0.36071
7881.09854,0.00027,-0.00052,0.36072
7881.10853,0.00645,-0.00053,0.36075
7881.11853,0.00018,-0.00043,0.36074
7881.12853,0.00641,-0.00026,0.3608
7881.13853,8e-05,-0.00023,0.36077
7881.14852,0.0063,-0.00032,0.36073
7881.15852,0.00021,-0.00039,0.36065
7881.16852,0.00667,-0.00031,0.36065
7881.17852,0.0008,-0.00047,0.36061
7881.18851,0.00707,-0.00067,0.36058
7881.19851,0.00074,-0.00077,0.36057
7881.20851,0.00675,-0.00061,0.36066
7881.21851,0.00065,-0.00037,0.36065
7881.2285,0.00692,-0.00034,0.36064
7881.2385,0.00101,-0.00039,0.3606
7881.2485,0.00727,-0.00028,0.36061
7881.2585,0.00068,-0.00031,0.36052
7881.26849,0.00653,-0.00044,0.36055
7881.27849,0.00072,-0.0007,0.36065
7881.28849,0.00734,-0.00063,0.36065
