t,p1,p2,h
4073.36969,-0.01075,0.00255,0.35388
4073.37969,-9e-05,0.00254,0.35385
4073.38969,-0.01072,0.00248,0.35382
4073.39969,0.00011,0.00254,0.35382
4073.40968,-0.01077,0.00278,0.35376
4073.41968,4e-05,0.00285,0.35373
4073.42968,-0.01072,0.00285,0.3537
4073.43968,0.00033,0.00267,0.35375
4073.44967,-0.01049,0.00251,0.35379
4073.45967,0.00062,0.00253,0.35389
4073.46967,-0.01007,0.00272,0.35384
4073.47967,0.00102,0.00263,0.35379
4073.48966,-0.0099,0.00267,0.35375
4073.49966,0.00087,0.00284,0.35382
4073.50966,-0.01031,0.00288,0.35376
4073.51966,0.00072,0.00262,0.35376
4073.52965,-0.01023,0.0025,0.35372
4073.53965,0.00082,0.00256,0.35376
4073.54965,-0.01027,0.00266,0.35372
4073.55965,0.00082,0.00255,0.3537
4073.56964,-0.01039,0.00234,0.35369
4073.57964,0.00068,0.00216,0.35378
4073.58964,-0.01062,0.00212,0.35376
4073.59964,0.0003,0.00212,0.35372
4073.60963,-0.01086,0.00233,0.3537
4073.61963,0.00039,0.00265,0.35376
4073.62963,-0.01099,0.00285,0.35378
4073.63962,0.00021,0.00282,0.35385
4073.64962,-0.01079,0.00292,0.35382
4073.65962,0.00061,0.00298,0.35388
4073.66962,-0.01063,0.00292,0.35385
4073.67961,0.0007,0.00269,0.35385
4073.68961,-0.01053,0.00261,0.35383
4073.69961,0.00091,0.00255,0.35383
4073.70961,-0.01069,0.00243,0.35377
4073.7196,0.00051,0.00228,0.35381
4073.7296,-0.0107,0.0024,0.35383
4073.7396,0.00071,0.00253,0.35378
4073.7496,-0.01089,0.00251,0.35371
4073.75959,0.00054,0.00249,0.35373
4073.76959,-0.01099,0.00262,0.35378
4073.77959,0.00036,0.0026,0.35385
4073.78959,-0.01106,0.00249,0.35377
4073.79958,0.00081,0.00222,0.35374
4073.80958,-0.01062,0.00214,0.35367
4073.81958,0.00086,0.00238,0.35368
4073.82958,-0.01083,0.00261,0.35369
4073.83957,0.00077,0.0026,0.35377
4073.84957,-0.01076,0.00262,0.35379
4073.85957,0.00101,0.00267,0.35381
4073.86956,-0.01053,0.00264,0.35377
4073.87956,0.00128,0.0025,0.35374
4073.88956,-0.01038,0.0026,0.35376
4073.89956,0.00131,0.00247,0.35382
4073.90955,-0.01058,0.00249,0.3538
4073.91955,0.00106,0.00261,0.35377
4073.92955,-0.01071,0.00253,0.35374
4073.93955,0.00105,0.00228,0.35372
4073.94954,-0.01094,0.00219,0.35371
4073.95954,0.00068,0.00212,0.35376
4073.96954,-0.01135,0.00206,0.35372
4073.97954,0.00031,0.00196,0.35375
4073.98953,-0.01161,0.00214,0.35377
4073.99953,0.0003,0.00244,0.35376
4074.00953,-0.01143,0.00257,0.35371
4074.01953,0.00056,0.00238,0.35374
4074.02952,-0.01121,0.00227,0.3537
4074.03952,0.00086,0.00224,0.35375
4074.04952,-0.01099,0.00232,0.3538
4074.05952,0.00088,0.00239,0.35387
4074.06951,-0.01145,0.00255,0.35378
4074.07951,0.00034,0.00267,0.35374
4074.08951,-0.01152,0.00279,0.35373
4074.0995,0.00076,0.00271,0.35384
4074.1095,-0.0108,0.0027,0.3538
4074.1195,0.00174,0.00277,0.35372
4074.1295,-0.01042,0.00277,0.35368
4074.13949,0.00141,0.00266,0.35375
4074.14949,-0.01104,0.00297,0.35377
4074.15949,0.00084,0.00332,0.35383
4074.16949,-0.01138,0.00337,0.35379
4074.17948,0.00062,0.00312,0.35377
4074.18948,-0.01173,0.00292,0.35374
4074.19948,0.00076,0.00282,0.35378
4074.20948,-0.01131,0.00283,0.3538
4074.21947,0.00102,0.00273,0.35379
4074.22947,-0.01116,0.00254,0.35368
4074.23947,0.00127,0.00254,0.35372
4074.24947,-0.01117,0.00283,0.35377
4074.25946,0.00084,0.00301,0.35386
4074.26946,-0.01163,0.00305,0.35381
4074.27946,0.0009,0.00283,0.35379
4074.28946,-0.01128,0.00245,0.35374
4074.29945,0.00117,0.0022,0.35373
4074.30945,-0.01114,0.00221,0.35373
4074.31945,0.0012,0.00237,0.35382
4074.32945,-0.0113,0.00259,0.35378
4074.33944,0.00111,0.00241,0.35377
4074.34944,-0.01144,0.00224,0.3537
4074.35944,0.00095,0.00225,0.35366
