t,p1,p2,h
2200.97708,-0.01472,0.0017,0.36334
2200.98708,-0.00072,0.00171,0.36342
2200.99708,-0.0148,0.00179,0.36341
2201.00707,-0.00054,0.00172,0.36338
2201.01707,-0.01476,0.00167,0.36328
2201.02707,-0.00097,0.00155,0.36325
2201.03707,-0.01499,0.0015,0.36323
2201.04706,-0.00043,0.00165,0.36333
2201.05706,-0.01419,0.00192,0.36334
2201.06706,-0.00016,0.00197,0.3634
2201.07706,-0.0144,0.00208,0.36331
2201.08705,-0.00047,0.00216,0.36328
2201.09705,-0.01465,0.00196,0.36332
2201.10705,-0.00073,0.00178,0.36345
2201.11705,-0.01484,0.00178,0.36338
2201.12704,-0.00057,0.00168,0.36336
2201.13704,-0.01474,0.00155,0.36333
2201.14704,-0.00067,0.00149,0.36339
2201.15703,-0.01458,0.00145,0.36342
2201.16703,-0.00028,0.00134,0.36347
2201.17703,-0.01442,0.00148,0.36339
2201.18703,-0.00047,0.00171,0.36336
2201.19702,-0.01469,0.00172,0.36328
2201.20702,-0.00057,0.00159,0.36336
2201.21702,-0.01456,0.00149,0.36342
2201.22702,-0.00044,0.0015,0.36343
2201.23701,-0.01456,0.00149,0.36337
2201.24701,-0.00036,0.00144,0.3634
2201.25701,-0.01466,0.0015,0.36336
2201.26701,-0.00056,0.00143,0.36335
2201.277,-0.01446,0.00135,0.36328
2201.287,-0.00014,0.00122,0.36329
2201.297,-0.01409,0.00105,0.36327
2201.307,-3e-05,0.00119,0.36331
2201.31699,-0.01427,0.00142,0.36324
2201.32699,-9e-05,0.00149,0.36326
2201.33699,-0.01401,0.00139,0.36329
2201.34699,0.00046,0.00126,0.3634
2201.35698,-0.0137,0.00132,0.36344
2201.36698,4e-05,0.00135,0.36348
2201.37698,-0.01445,0.00147,0.36343
2201.38698,-0.00041,0.00163,0.36344
2201.39697,-0.01484,0.00167,0.36342
2201.40697,-0.00093,0.00153,0.36343
2201.41697,-0.01508,0.00157,0.3634
2201.42696,-0.00077,0.00172,0.36342
2201.43696,-0.01475,0.00199,0.36339
2201.44696,-0.00046,0.00196,0.36342
