t,p1,p2,h
3400.90474,0.00321,0.00108,0.33826
3400.91474,-0.01285,0.00104,0.33824
3400.92473,0.00283,0.0009,0.33831
3400.93473,-0.0135,0.00093,0.33826
3400.94473,0.00273,0.00096,0.33827
3400.95473,-0.01315,0.0009,0.33821
3400.96472,0.00283,0.00078,0.33818
3400.97472,-0.01327,0.00077,0.33809
3400.98472,0.00286,0.00076,0.33807
3400.99472,-0.01325,0.00065,0.33799
3401.00471,0.00279,0.00056,0.33808
3401.01471,-0.0132,0.00069,0.33814
3401.02471,0.00282,0.00115,0.33821
3401.0347,-0.01346,0.00146,0.33815
3401.0447,0.0025,0.00147,0.33814
3401.0547,-0.01338,0.00134,0.33812
3401.0647,0.00274,0.00126,0.33817
3401.07469,-0.01334,0.00125,0.33811
3401.08469,0.00287,0.0012,0.33817
3401.09469,-0.0132,0.00126,0.33814
3401.10469,0.003,0.00131,0.33819
3401.11468,-0.0132,0.00137,0.33815
3401.12468,0.00277,0.0014,0.3382
3401.13468,-0.01365,0.00131,0.33814
3401.14468,0.00228,0.00118,0.33809
3401.15467,-0.01384,0.00117,0.33796
3401.16467,0.00234,0.00122,0.33798
3401.17467,-0.0139,0.00115,0.33805
3401.18467,0.00215,0.00118,0.3382
3401.19466,-0.01404,0.00142,0.33821
3401.20466,0.00217,0.00148,0.33829
3401.21466,-0.01379,0.00126,0.33824
3401.22466,0.00231,0.00102,0.33823
3401.23465,-0.01402,0.00101,0.3381
3401.24465,0.00216,0.00104,0.33803
3401.25465,-0.01399,0.00089,0.33795
3401.26464,0.00214,0.00071,0.33804
3401.27464,-0.01409,0.00063,0.33809
3401.28464,0.00212,0.00075,0.33821
3401.29464,-0.01412,0.00094,0.33815
3401.30463,0.0023,0.00098,0.33813
3401.31463,-0.01362,0.00081,0.33813
3401.32463,0.00257,0.00062,0.33829
3401.33463,-0.01382,0.00066,0.33835
3401.34462,0.00214,0.00082,0.33839
3401.35462,-0.01412,0.00079,0.33825
3401.36462,0.00221,0.00083,0.33813
3401.37462,-0.01397,0.00093,0.33803
3401.38461,0.00232,0.00092,0.33809
3401.39461,-0.014,0.00087,0.33809
3401.40461,0.00185,0.00084,0.33815
3401.41461,-0.01433,0.00075,0.33812
3401.4246,0.00237,0.00073,0.3382
3401.4346,-0.01346,0.00091,0.33818
3401.4446,0.00265,0.00102,0.33819
3401.4546,-0.0138,0.00086,0.33809
3401.46459,0.00244,0.00079,0.33814
3401.47459,-0.01383,0.00074,0.33815
3401.48459,0.00219,0.00063,0.33821
3401.49459,-0.01421,0.00085,0.33822
3401.50458,0.00215,0.00105,0.33828
3401.51458,-0.01381,0.00103,0.33816
3401.52458,0.00252,0.0011,0.33812
3401.53457,-0.01389,0.00118,0.33805
3401.54457,0.00191,0.00103,0.33813
3401.55457,-0.0145,0.00091,0.33816
3401.56457,0.00158,0.00101,0.3382
3401.57456,-0.01441,0.00113,0.3381
3401.58456,0.0019,0.00114,0.33812
3401.59456,-0.01417,0.00117,0.33807
3401.60456,0.00214,0.00119,0.33811
3401.61455,-0.014,0.0012,0.33812
3401.62455,0.00223,0.00124,0.33824
3401.63455,-0.014,0.00126,0.33826
3401.64455,0.00228,0.00135,0.33825
3401.65454,-0.01371,0.00155,0.33811
3401.66454,0.00263,0.00166,0.33819
3401.67454,-0.01341,0.00147,0.3382
3401.68454,0.00272,0.00118,0.33816
3401.69453,-0.01339,0.00103,0.33808
3401.70453,0.00312,0.00104,0.33811
3401.71453,-0.01281,0.00112,0.338
3401.72453,0.00312,0.00117,0.33809
3401.73452,-0.01343,0.00111,0.33809
3401.74452,0.00279,0.0011,0.33813
3401.75452,-0.01324,0.0011,0.33812
3401.76451,0.00296,0.00118,0.33819
3401.77451,-0.01312,0.00135,0.3382
3401.78451,0.00295,0.0014,0.33818
3401.79451,-0.01327,0.00132,0.33808
3401.8045,0.003,0.00118,0.33812
3401.8145,-0.01322,0.00107,0.33811
3401.8245,0.00272,0.00107,0.33821
3401.8345,-0.01346,0.00126,0.33821
3401.84449,0.00281,0.00144,0.33824
3401.85449,-0.01304,0.00135,0.33811
3401.86449,0.00306,0.0012,0.33815
3401.87449,-0.01318,0.00127,0.33822
3401.88448,0.00279,0.00139,0.33825
3401.89448,-0.01331,0.00143,0.33814
3401.90448,0.00284,0.00144,0.33816
3401.91448,-0.01322,0.00145,0.33816
