t,p1,p2,h
1910.27275,0.00286,0.00152,0.38722
1910.28275,-0.01324,0.00158,0.38714
1910.29275,0.0028,0.00169,0.38717
1910.30274,-0.01333,0.00159,0.38717
1910.31274,0.00284,0.00128,0.38727
1910.32274,-0.01311,0.00119,0.38725
1910.33274,0.00302,0.00133,0.38724
1910.34273,-0.01339,0.00136,0.38714
1910.35273,0.00251,0.0014,0.38727
1910.36273,-0.01354,0.00148,0.38728
1910.37273,0.00261,0.0015,0.38726
1910.38272,-0.01365,0.00156,0.38718
1910.39272,0.00238,0.00154,0.3872
1910.40272,-0.01391,0.00152,0.38716
1910.41272,0.00228,0.00162,0.38723
1910.42271,-0.01343,0.00155,0.3872
1910.43271,0.00284,0.00138,0.38721
1910.44271,-0.01359,0.00129,0.38712
1910.45271,0.00225,0.00117,0.38716
1910.4627,-0.01391,0.0011,0.38713
1910.4727,0.00223,0.00105,0.38718
1910.4827,-0.01381,0.00105,0.38722
1910.4927,0.00242,0.0012,0.38724
1910.50269,-0.01362,0.00133,0.38715
1910.51269,0.00229,0.00127,0.38721
1910.52269,-0.01416,0.00114,0.38721
1910.53268,0.00176,0.00105,0.38721
1910.54268,-0.0145,0.00108,0.38713
1910.55268,0.0015,0.00113,0.38715
1910.56268,-0.01459,0.00119,0.38709
1910.57267,0.00155,0.00113,0.38722
1910.58267,-0.01477,0.00108,0.38719
1910.59267,0.00133,0.00105,0.38719
1910.60267,-0.01463,0.00106,0.38708
1910.61266,0.00181,0.00115,0.38715
1910.62266,-0.01388,0.00133,0.38718
1910.63266,0.00247,0.00149,0.38727
1910.64266,-0.0136,0.00139,0.38718
1910.65265,0.00243,0.00129,0.38713
1910.66265,-0.01367,0.00123,0.38706
1910.67265,0.00234,0.00116,0.38713
1910.68265,-0.01401,0.00114,0.38715
1910.69264,0.00211,0.00128,0.38715
1910.70264,-0.01426,0.00141,0.38706
1910.71264,0.00158,0.00161,0.38718
1910.72264,-0.01443,0.00182,0.38721
1910.73263,0.00188,0.00187,0.38725
1910.74263,-0.01415,0.00181,0.38721
1910.75263,0.00198,0.00171,0.38727
1910.76262,-0.01399,0.00173,0.38726
1910.77262,0.00241,0.00179,0.38732
1910.78262,-0.01362,0.00183,0.38731
1910.79262,0.00249,0.00185,0.3873
1910.80261,-0.01382,0.00172,0.38729
1910.81261,0.00187,0.00164,0.38736
1910.82261,-0.01431,0.00164,0.38731
1910.83261,0.0021,0.00171,0.38734
1910.8426,-0.01401,0.00183,0.38727
1910.8526,0.00204,0.00197,0.38732
1910.8626,-0.01406,0.00205,0.3873
1910.8726,0.00197,0.00202,0.38733
1910.88259,-0.014,0.00196,0.38726
1910.89259,0.00236,0.0021,0.38729
1910.90259,-0.01366,0.0021,0.38722
1910.91259,0.0024,0.00196,0.38724
1910.92258,-0.01376,0.00186,0.38724
1910.93258,0.00226,0.00173,0.38728
1910.94258,-0.01387,0.0015,0.3872
1910.95258,0.00228,0.0013,0.38728
1910.96257,-0.01402,0.00123,0.3873
1910.97257,0.00192,0.00133,0.38727
1910.98257,-0.01383,0.00133,0.38715
1910.99257,0.00275,0.00122,0.38724
1911.00256,-0.01344,0.00118,0.38727
