t,p1,p2,h
3075.6794,0.00064,0.00054,0.36137
3075.68939,0.01519,0.00047,0.36133
3075.69939,0.00072,0.00043,0.36124
3075.70939,0.01507,0.00033,0.36123
3075.71938,0.0007,0.00013,0.3612
3075.72938,0.01494,7e-05,0.36126
3075.73938,0.00053,5e-05,0.36123
3075.74938,0.01479,-4e-05,0.36124
3075.75937,0.00034,-0.00015,0.36116
3075.76937,0.0146,-0.00025,0.36121
3075.77937,0.00032,-0.00033,0.3612
3075.78937,0.0148,-0.00026,0.36127
3075.79936,0.00051,-0.00027,0.36121
3075.80936,0.01477,-0.00026,0.36121
3075.81936,0.00052,-0.00034,0.36119
3075.82936,0.01483,-0.00032,0.36124
3075.83935,0.00033,-0.00022,0.36116
3075.84935,0.01421,-0.0002,0.36115
3075.85935,3e-05,-0.00026,0.36112
3075.86935,0.01454,-0.00033,0.36119
3075.87934,0.00026,-0.00026,0.3611
3075.88934,0.01439,-2e-05,0.36117
3075.89934,0.0003,-6e-05,0.36117
3075.90934,0.01426,-0.0003,0.36123
3075.91933,-0.00033,-0.0006,0.36118
3075.92933,0.01359,-0.00065,0.36123
3075.93933,-0.00058,-0.00064,0.36118
3075.94933,0.01375,-0.00061,0.36118
3075.95932,-0.0003,-0.00059,0.36116
3075.96932,0.01387,-0.00054,0.36121
3075.97932,-0.00029,-0.0006,0.36114
3075.98931,0.01364,-0.00066,0.3612
3075.99931,-0.00045,-0.0007,0.36116
3076.00931,0.01392,-0.00039,0.36117
3076.01931,0.00014,-0.00033,0.36115
3076.0293,0.01424,-0.00046,0.36117
3076.0393,-0.00011,-0.00058,0.36114
3076.0493,0.01353,-0.00062,0.36118
3076.0593,-0.00084,-0.00057,0.36116
3076.06929,0.01312,-0.00044,0.36124
3076.07929,-0.00083,-0.00058,0.36125
3076.08929,0.01336,-0.00071,0.36124
3076.09929,-0.00038,-0.00086,0.36119
3076.10928,0.01376,-0.00091,0.36123
3076.11928,-0.00017,-0.00091,0.36124
3076.12928,0.01381,-0.00079,0.36127
3076.13928,-0.0001,-0.00069,0.36117
3076.14927,0.01405,-0.00058,0.36123
3076.15927,0.00017,-0.00056,0.36122
3076.16927,0.01405,-0.0005,0.36127
3076.17927,9e-05,-0.0004,0.36125
3076.18926,0.01417,-0.0002,0.36128
3076.19926,0.00017,-9e-05,0.36121
3076.20926,0.014,-9e-05,0.36122
3076.21925,0.00023,-0.00026,0.36118
3076.22925,0.01424,-0.00044,0.36122
3076.23925,0.00039,-0.00055,0.36117
3076.24925,0.01441,-0.00067,0.36118
3076.25924,0.00065,-0.00069,0.3611
3076.26924,0.01437,-0.00061,0.36109
3076.27924,0.0004,-0.00054,0.36104
3076.28924,0.01424,-0.00016,0.3611
3076.29923,0.00054,-3e-05,0.36115
3076.30923,0.01428,-0.00017,0.36127
3076.31923,0.00026,-0.00032,0.36126
3076.32923,0.01401,-0.0003,0.3613
3076.33922,0.00048,-0.00021,0.3612
3076.34922,0.01425,-0.00012,0.36119
3076.35922,0.00029,-8e-05,0.36116
3076.36922,0.01378,-3e-05,0.3612
3076.37921,-7e-05,-2e-05,0.36117
3076.38921,0.01374,-1e-05,0.36123
3076.39921,0.00012,6e-05,0.36117
3076.40921,0.01386,7e-05,0.36121
3076.4192,0.00011,-7e-05,0.36123
3076.4292,0.01381,-5e-05,0.36131
3076.4392,0.00013,-0.0001,0.36124
3076.44919,0.01375,-0.00024,0.36127
3076.45919,0.00013,-0.00029,0.36118
3076.46919,0.01379,-0.00018,0.36117
3076.47919,0.0001,-6e-05,0.3611
3076.48918,0.01372,-0.0001,0.36114
3076.49918,0.00028,-0.00024,0.36111
3076.50918,0.01395,-0.00012,0.36111
3076.51918,0.00052,-5e-05,0.3611
3076.52917,0.0145,-0.00012,0.36117
3076.53917,0.00111,0.00014,0.36111
3076.54917,0.01427,0.0004,0.36107
3076.55917,0.0004,0.0003,0.36104
3076.56916,0.01408,0.00018,0.36112
3076.57916,0.00063,0.00018,0.36109
3076.58916,0.01411,0.00022,0.36114
3076.59916,0.00046,0.00025,0.36107
3076.60915,0.01373,0.00032,0.3611
3076.61915,0.00014,0.0003,0.36112
3076.62915,0.01346,6e-05,0.36123
3076.63915,0.00021,-0,0.36124
3076.64914,0.01404,9e-05,0.36124
3076.65914,0.00093,0.00014,0.36116
3076.66914,0.01435,0.00014,0.36119
3076.67914,0.00073,8e-05,0.3612
3076.68913,0.0141,-1e-05,0.3612
3076.69913,0.00093,-0.00016,0.36115
