t,p1,p2,h
3541.79806,-0.00869,0.00916,0.34732
3541.80806,-0.00054,0.00899,0.3473
3541.81806,-0.00854,0.00881,0.34741
3541.82806,-0.00062,0.0088,0.34752
3541.83805,-0.00859,0.00895,0.34746
3541.84805,-0.0007,0.00906,0.34744
3541.85805,-0.0086,0.00886,0.34736
3541.86805,-0.00071,0.00871,0.34734
3541.87804,-0.00835,0.00871,0.34733
3541.88804,-0.00055,0.0087,0.3474
3541.89804,-0.00859,0.00868,0.34737
3541.90804,-0.00098,0.00885,0.3473
3541.91803,-0.00893,0.00915,0.34725
3541.92803,-0.00129,0.00943,0.3473
3541.93803,-0.0086,0.00957,0.34735
3541.94802,-0.00053,0.00967,0.34737
3541.95802,-0.00801,0.00965,0.34737
3541.96802,-0.00025,0.00965,0.34737
3541.97802,-0.00782,0.00986,0.34728
3541.98801,-0.00041,0.0102,0.34732
3541.99801,-0.00786,0.01036,0.34731
3542.00801,-0.00035,0.01035,0.3473
3542.01801,-0.00773,0.01008,0.34726
3542.028,-0.00031,0.00991,0.34731
3542.038,-0.0077,0.00973,0.34729
3542.048,-0.00036,0.0096,0.34729
3542.058,-0.00779,0.00958,0.34731
3542.06799,-0.00054,0.00961,0.34737
3542.07799,-0.00773,0.00951,0.34737
3542.08799,-0.00017,0.00949,0.34741
3542.09799,-0.00715,0.00949,0.34733
3542.10798,2e-05,0.00946,0.34734
3542.11798,-0.00711,0.00953,0.3473
3542.12798,0.00017,0.00972,0.34736
3542.13798,-0.0069,0.00975,0.34738
3542.14797,0.00011,0.00987,0.34734
3542.15797,-0.00709,0.00977,0.34723
3542.16797,-0.00025,0.00965,0.34725
3542.17796,-0.00763,0.00963,0.34727
3542.18796,-0.00087,0.00956,0.34732
3542.19796,-0.00788,0.00942,0.34732
3542.20796,-0.00081,0.00926,0.34731
3542.21795,-0.00744,0.00926,0.34725
3542.22795,-0.00043,0.00945,0.34721
3542.23795,-0.0072,0.00953,0.34717
3542.24795,-0.00036,0.00948,0.34722
3542.25794,-0.00726,0.00946,0.34727
3542.26794,-0.00043,0.0097,0.34732
3542.27794,-0.00696,0.00964,0.34729
3542.28794,-0.00017,0.00946,0.34731
3542.29793,-0.00699,0.00927,0.3473
3542.30793,-0.0003,0.00919,0.3473
3542.31793,-0.00673,0.00919,0.3472
3542.32793,-5e-05,0.00936,0.34719
3542.33792,-0.00684,0.00952,0.34722
3542.34792,-0.00053,0.00964,0.34726
3542.35792,-0.00725,0.00959,0.34722
3542.36792,-0.00077,0.00961,0.34726
3542.37791,-0.0071,0.00975,0.34722
3542.38791,-0.00094,0.0098,0.34724
3542.39791,-0.00749,0.00952,0.34731
3542.40791,-0.00115,0.00927,0.34738
3542.4179,-0.0076,0.00916,0.34733
3542.4279,-0.0011,0.00922,0.34738
3542.4379,-0.00707,0.00928,0.34739
3542.44789,-0.00085,0.00923,0.34736
3542.45789,-0.00745,0.00914,0.34726
3542.46789,-0.00128,0.00911,0.34725
3542.47789,-0.00709,0.00896,0.34724
3542.48788,-0.00073,0.00886,0.34729
3542.49788,-0.00679,0.00886,0.34725
3542.50788,-0.0006,0.00899,0.34734
3542.51788,-0.00661,0.00901,0.34736
3542.52787,-0.00051,0.00915,0.34733
3542.53787,-0.00649,0.00926,0.34733
3542.54787,-0.00065,0.00921,0.34737
3542.55787,-0.00667,0.00909,0.34731
3542.56786,-0.00085,0.00908,0.34734
3542.57786,-0.0068,0.00904,0.34726
3542.58786,-0.00088,0.00899,0.34725
3542.59786,-0.00682,0.00897,0.34722
3542.60785,-0.00133,0.00909,0.3472
3548.91621,0.00222,-0.00057,0.34735
3548.92621,-0.00847,-0.00054,0.3473
3548.93621,0.00253,-0.00039,0.34733
3548.9462,-0.00814,-0.00022,0.34734
3548.9562,0.00299,-0.0002,0.3474
3548.9662,-0.00812,-0.00018,0.34741
3548.9762,0.00275,-0.00026,0.34741
3548.98619,-0.00822,-0.00029,0.34738
3548.99619,0.00279,-0.00033,0.34743
3549.00619,-0.00834,-0.00034,0.3474
3549.01618,0.00267,-0.00031,0.34739
3549.02618,-0.00868,-0.00037,0.34741
3549.03618,0.00236,-0.0005,0.34744
3549.04618,-0.0086,-0.00065,0.3474
3549.05617,0.00279,-0.00065,0.34739
3549.06617,-0.00813,-0.00042,0.34737
3549.07617,0.0031,-9e-05,0.34736
3549.08617,-0.00831,-3e-05,0.34731
3549.09616,0.00288,-5e-05,0.3474
3549.10616,-0.00818,-8e-05,0.34738
3549.11616,0.00331,-5e-05,0.3474
3549.12616,-0.00808,0.00019,0.34743
3549.13615,0.00305,0.00033,0.34744
3549.14615,-0.00836,0.00017,0.34741
3549.15615,0.00326,-8e-05,0.34748
3549.16615,-0.00797,-0.00019,0.34752
3549.17614,0.00345,-0.00023,0.34757
3549.18614,-0.00808,-0.00017,0.34755
3549.19614,0.00332,-0.00014,0.34759
3549.20614,-0.0083,-0.00026,0.34755
3549.21613,0.00295,-0.00039,0.34748
3549.22613,-0.00873,-0.0003,0.34734
3549.23613,0.00283,-0.00035,0.34738
3549.24613,-0.00868,-0.00045,0.34739
3549.25612,0.00286,-0.00047,0.34735
3549.26612,-0.00893,-0.00041,0.34729
3549.27612,0.00258,-0.00048,0.34732
3549.28611,-0.00892,-0.00044,0.34735
3549.29611,0.00286,-0.00039,0.34742
3549.30611,-0.00876,-0.00038,0.34738
3549.31611,0.0029,-0.00042,0.34735
3549.3261,-0.00896,-0.00046,0.34739
3549.3361,0.00274,-0.00051,0.34748
3549.3461,-0.00897,-0.00025,0.34743
3549.3561,0.00295,-0.00016,0.34738
3549.36609,-0.00869,-0.00032,0.34734
3549.37609,0.00309,-0.00039,0.3474
3549.38609,-0.00881,-0.00048,0.34738
3549.39609,0.00317,-0.00064,0.34735
3549.40608,-0.00849,-0.00054,0.3473
3549.41608,0.00353,-0.0005,0.34735
3549.42608,-0.00848,-0.00045,0.34735
3549.43608,0.00341,-0.0004,0.3474
3549.44607,-0.00863,-0.00028,0.34736
3549.45607,0.00346,-0.00018,0.34731
3549.46607,-0.00862,-0.00014,0.34723
3549.47607,0.00319,-0.00018,0.34725
3549.48606,-0.00899,-8e-05,0.3473
3549.49606,0.00328,6e-05,0.34736
3549.50606,-0.00844,9e-05,0.34737
3549.51605,0.00393,0.00016,0.34739
3549.52605,-0.00838,0.00032,0.34737
3549.53605,0.00346,0.00018,0.34741
3549.54605,-0.00898,-0,0.34742
3549.55604,0.00324,-0.00013,0.34745
3549.56604,-0.00885,-9e-05,0.34741
3549.57604,0.00339,-1e-05,0.34743
3549.58604,-0.00881,0.0001,0.34741
3549.59603,0.00348,1e-05,0.34744
3549.60603,-0.00884,-9e-05,0.34742
3549.61603,0.00361,-0.00017,0.34743
3549.62603,-0.00846,-7e-05,0.34735
3549.63602,0.0042,7e-05,0.34734
3549.64602,-0.00801,0.00011,0.34727
3549.65602,0.00433,0.00027,0.34726
3549.66602,-0.00814,0.00048,0.34725
3549.67601,0.00418,0.00031,0.3473
3549.68601,-0.0083,4e-05,0.34733
3549.69601,0.00436,9e-05,0.34743
3549.70601,-0.00793,0.00029,0.34744
3549.716,0.00453,0.00019,0.34741
3549.726,-0.00815,0.0001,0.34727
3549.736,0.00435,0.00014,0.34726
3549.74599,-0.00819,0.00011,0.34726
3549.75599,0.00441,0.00028,0.34732
3549.76599,-0.00821,0.00038,0.34732
3549.77599,0.00447,-4e-05,0.34734
3549.78598,-0.00829,-0.00025,0.34728
3549.79598,0.00414,-0.00011,0.34731
3549.80598,-0.00882,0.00012,0.34728
3549.81598,0.0039,0.00029,0.34729
3549.82597,-0.00849,0.00043,0.34729
3549.83597,0.00447,0.00041,0.34731
3549.84597,-0.00817,0.00025,0.34726
3549.85597,0.00475,0.00011,0.34728
3549.86596,-0.0081,4e-05,0.34731
3549.87596,0.00445,-1e-05,0.34744
3549.88596,-0.00848,-0.00013,0.34741
3549.89596,0.0043,-0.00018,0.34739
3549.90595,-0.00876,-0.00014,0.34733
3549.91595,0.004,-9e-05,0.34738
3549.92595,-0.00861,-0.0001,0.34739
3549.93595,0.00482,-0.00021,0.34744
3549.94594,-0.00789,-0.00032,0.3474
3549.95594,0.00492,-0.00032,0.34737
3549.96594,-0.008,-0.00016,0.34731
3549.97594,0.00508,-0.00016,0.34739
3549.98593,-0.0081,-0.00019,0.34742
3549.99593,0.00476,-0.0002,0.34744
3550.00593,-0.00856,-0.00017,0.34737
3550.01592,0.00406,1e-05,0.34738
3550.02592,-0.00927,2e-05,0.34741
3550.03592,0.00393,-6e-05,0.34745
3550.04592,-0.00907,-0.00024,0.34739
3550.05591,0.00421,-0.0004,0.34738
3550.06591,-0.00875,-0.00046,0.34732
3550.07591,0.00449,-0.00053,0.34735
3550.08591,-0.00887,-0.00044,0.34735
3550.0959,0.00428,-0.00034,0.34739
3550.1059,-0.00894,-0.00033,0.34735
3550.1159,0.00441,-0.00039,0.34735
3550.1259,-0.00898,-0.00034,0.34735
3550.13589,0.00425,-0.00014,0.34738
3550.14589,-0.00895,3e-05,0.3473
3550.15589,0.00447,0.0001,0.34731
3550.16589,-0.00887,7e-05,0.34728
3550.17588,0.00432,-1e-05,0.34734
3550.18588,-0.00935,-9e-05,0.34728
3550.19588,0.00378,-0.00024,0.34735
3550.20588,-0.00974,-0.00023,0.34736
3550.21587,0.00381,-0.00019,0.34737
3550.22587,-0.00953,-0.00016,0.34728
3550.23587,0.00398,-0.0002,0.34727
3550.24586,-0.00954,-0.00028,0.34727
3550.25586,0.00383,-0.00035,0.34728
3550.26586,-0.00987,-0.00033,0.34723
3550.27586,0.00387,-0.00042,0.34725
3550.28585,-0.00939,-0.00058,0.34729
3550.29585,0.00429,-0.00062,0.34736
3550.30585,-0.00928,-0.00069,0.34733
3550.31585,0.0042,-0.00065,0.34736
3550.32584,-0.00957,-0.00039,0.34737
3550.33584,0.00415,-0.00025,0.34737
3550.34584,-0.00919,-0.00024,0.34731
3550.35584,0.00465,-0.00021,0.34733
3550.36583,-0.00911,-0.00019,0.34733
3550.37583,0.00434,-0.00025,0.34742
3550.38583,-0.00939,-0.00022,0.34734
3550.39583,0.00448,-0.00026,0.34734
3550.40582,-0.00929,-0.0003,0.34731
3550.41582,0.00453,-0.00041,0.34733
3550.42582,-0.00928,-0.00061,0.34732
3550.43582,0.00454,-0.00069,0.34737
3550.44581,-0.00904,-0.00067,0.3473
3550.45581,0.00487,-0.00066,0.34728
3550.46581,-0.00894,-0.00074,0.34732
3550.4758,0.00511,-0.00089,0.34746
3550.4858,-0.00867,-0.00091,0.34741
3550.4958,0.00514,-0.00087,0.34741
3550.5058,-0.00886,-0.00042,0.34735
3550.51579,0.00503,-4e-05,0.34737
3550.52579,-0.00886,-9e-05,0.34732
3550.53579,0.005,-6e-05,0.34736
3550.54579,-0.00897,0.00025,0.34726
3550.55578,0.00501,0.00054,0.34724
3550.56578,-0.00879,0.00064,0.34722
3550.57578,0.00539,0.0008,0.34725
3550.58578,-0.00876,0.0008,0.34724
3550.59577,0.0049,0.00065,0.34723
3550.60577,-0.00949,0.00063,0.34718
3550.61577,0.00441,0.00061,0.3473
3550.62577,-0.00938,0.00073,0.34737
3550.63576,0.00494,0.00077,0.34742
3550.64576,-0.00898,0.00078,0.34738
3550.65576,0.00516,0.00054,0.34739
3550.66576,-0.00909,0.00028,0.34732
3550.67575,0.00501,0.00031,0.34733
3550.68575,-0.00911,0.00049,0.34736
3550.69575,0.00517,0.00064,0.34737
3550.70575,-0.00906,0.00061,0.34728
3550.71574,0.00493,0.00039,0.34734
3550.72574,-0.00954,0.00023,0.34736
3550.73574,0.00453,0.00017,0.34737
3550.74573,-0.00977,0.00022,0.34732
3550.75573,0.00465,0.00026,0.34729
3550.76573,-0.00924,0.00016,0.3472
3550.77573,0.00533,2e-05,0.34724
3550.78572,-0.00906,0.00015,0.34725
3550.79572,0.00519,0.00023,0.34731
3550.80572,-0.00899,0.00036,0.3473
3550.81572,0.00558,0.00056,0.34736
3550.82571,-0.0088,0.00058,0.34729
3550.83571,0.00551,0.0002,0.34734
3550.84571,-0.00915,-2e-05,0.3473
3550.85571,0.00494,-8e-05,0.34733
3550.8657,-0.00974,1e-05,0.34731
3550.8757,0.00465,0,0.34731
3550.8857,-0.00957,-0.0001,0.3473
3550.8957,0.00517,-8e-05,0.34736
3550.90569,-0.00925,-1e-05,0.34739
3550.91569,0.00534,3e-05,0.34742
3550.92569,-0.00897,0.00018,0.34733
3550.93569,0.00559,0.00023,0.34734
3550.94568,-0.00906,0.00032,0.34731
3550.95568,0.00532,0.00038,0.3474
3550.96568,-0.00942,0.00039,0.34743
3550.97567,0.00498,0.00032,0.34745
3550.98567,-0.00997,0.00027,0.34739
3550.99567,0.00444,0.00026,0.34744
3551.00567,-0.01015,0.0003,0.34746
3551.01566,0.00475,0.00021,0.34748
3551.02566,-0.00951,0.00023,0.34741
3551.03566,0.00513,0.00042,0.34745
3551.04566,-0.00976,0.00053,0.34737
3551.05565,0.00482,0.00038,0.34743
3551.06565,-0.0097,0.00032,0.34742
3551.07565,0.00523,0.0003,0.34745
3551.08565,-0.00946,0.00018,0.34742
3551.09564,0.00505,3e-05,0.34742
3551.10564,-0.00979,0.00012,0.34736
3551.11564,0.00504,0.00026,0.34738
3551.12564,-0.00973,0.00035,0.34741
3551.13563,0.00531,0.00061,0.34746
3551.14563,-0.00909,0.0008,0.34737
3551.15563,0.00572,0.00073,0.34737
3551.16563,-0.00927,0.00084,0.34736
3551.17562,0.00546,0.00103,0.34742
3551.18562,-0.00957,0.0011,0.3474
3551.19562,0.00512,0.00102,0.34739
3551.20562,-0.00974,0.00091,0.3473
3551.21561,0.00513,0.00099,0.34736
3551.22561,-0.00974,0.00109,0.3474
3551.23561,0.00509,0.00101,0.34744
3551.2456,-0.00986,0.00093,0.34735
3551.2556,0.00496,0.00082,0.34732
3551.2656,-0.00997,0.00083,0.34726
3551.2756,0.00524,0.00095,0.34732
3551.28559,-0.00961,0.0009,0.34726
3551.29559,0.00537,0.00074,0.34728
3551.30559,-0.00964,0.00059,0.34735
3551.31559,0.00553,0.00057,0.34744
3551.32558,-0.00939,0.0004,0.34735
3551.33558,0.00569,0.00026,0.34731
3551.34558,-0.00919,0.00032,0.34732
3551.35558,0.00603,0.00037,0.34735
3551.36557,-0.00891,0.0005,0.34725
3551.37557,0.00593,0.0006,0.34725
3551.38557,-0.00947,0.00069,0.34725
3551.39557,0.0055,0.00062,0.34734
3551.40556,-0.00946,0.00043,0.3473
3551.41556,0.00572,0.00023,0.34732
3551.42556,-0.00944,0.0002,0.34729
3551.43556,0.00577,0.00039,0.34733
3551.44555,-0.00933,0.0005,0.34734
3551.45555,0.00587,0.00054,0.34744
3551.46555,-0.00946,0.00063,0.34739
3551.47554,0.00573,0.0007,0.34737
3551.48554,-0.00922,0.00067,0.3474
3551.49554,0.00629,0.00057,0.34749
3551.50554,-0.00882,0.00053,0.3474
3551.51553,0.00645,0.00051,0.34736
3551.52553,-0.00867,0.0004,0.34732
3551.53553,0.00657,0.00034,0.3474
3551.54553,-0.00872,0.0004,0.34739
3551.55552,0.00662,0.00048,0.34741
3551.56552,-0.00859,0.00058,0.3474
3551.57552,0.00673,0.00058,0.34741
3551.58552,-0.00874,0.00048,0.34736
3551.59551,0.00642,0.00058,0.3474
3551.60551,-0.00897,0.00071,0.34734
3551.61551,0.00649,0.00065,0.34737
3551.62551,-0.00867,0.00067,0.34734
3551.6355,0.00695,0.00067,0.34739
3551.6455,-0.00829,0.0007,0.34739
3551.6555,0.00688,0.00064,0.34747
3551.6655,-0.00866,0.0005,0.34744
3551.67549,0.00668,0.0003,0.34745
3551.68549,-0.00893,0.00027,0.34738
3551.69549,0.00649,0.00026,0.34744
3551.70548,-0.00868,0.00029,0.3474
3551.71548,0.00694,0.00022,0.34744
3551.72548,-0.00861,0.00013,0.34743
3551.73548,0.00699,6e-05,0.34748
3551.74547,-0.00791,0.00017,0.34744
3551.75547,0.00781,0.0004,0.34742
3551.76547,-0.00806,0.00048,0.34736
3551.77547,0.00714,0.0006,0.34737
3551.78546,-0.00839,0.00092,0.34736
3551.79546,0.00729,0.0012,0.3474
3551.80546,-0.00828,0.00144,0.34735
3551.81546,0.007,0.00147,0.34735
3551.82545,-0.0089,0.00145,0.34727
3551.83545,0.00633,0.00136,0.3473
3551.84545,-0.00921,0.00136,0.34732
3551.85545,0.00659,0.00147,0.34739
3551.86544,-0.00881,0.00144,0.34737
3551.87544,0.00691,0.00134,0.34736
3551.88544,-0.00868,0.00137,0.34732
3551.89544,0.00714,0.00134,0.34737
3551.90543,-0.00833,0.00127,0.34736
3551.91543,0.00736,0.00121,0.34735
3551.92543,-0.00818,0.00095,0.34726
3551.93543,0.0074,0.00065,0.34729
3551.94542,-0.00831,0.00048,0.34725
3551.95542,0.00719,0.00064,0.3473
3551.96542,-0.00883,0.00084,0.34729
3551.97541,0.0069,0.00082,0.34735
3551.98541,-0.00862,0.0007,0.34729
3551.99541,0.00707,0.00056,0.34736
3552.00541,-0.00876,0.00048,0.34738
3552.0154,0.00691,0.00058,0.34744
3552.0254,-0.00884,0.00071,0.34734
3552.0354,0.00682,0.00062,0.34738
3552.0454,-0.00897,0.00041,0.34739
3552.05539,0.0067,0.00049,0.34748
3552.06539,-0.00919,0.00087,0.34745
3552.07539,0.00677,0.00098,0.34737
3552.08539,-0.00893,0.00094,0.34728
3552.09538,0.00694,0.00088,0.34729
3552.10538,-0.00877,0.00094,0.34723
3552.11538,0.00695,0.00095,0.34733
3552.12538,-0.00892,0.00086,0.34734
3552.13537,0.00708,0.00061,0.34731
3552.14537,-0.00888,0.00048,0.34724
3552.15537,0.00678,0.00053,0.34728
3552.16537,-0.00909,0.00069,0.34723
3552.17536,0.00697,0.00092,0.34722
3552.18536,-0.00859,0.00105,0.34721
3552.19536,0.00726,0.00107,0.34728
3552.20535,-0.00879,0.0011,0.34728
3552.21535,0.0071,0.00109,0.34732
3552.22535,-0.00872,0.00113,0.34731
3552.23535,0.00724,0.00104,0.34737
3552.24534,-0.00874,0.00087,0.34733
3552.25534,0.00707,0.00084,0.34728
3552.26534,-0.0088,0.00091,0.34715
3552.27534,0.00706,0.00083,0.34717
3552.28533,-0.00904,0.0008,0.34716
3552.29533,0.00701,0.00096,0.34725
3552.30533,-0.00855,0.00134,0.34724
3552.31533,0.0077,0.00147,0.34726
3552.32532,-0.00816,0.00135,0.34725
3552.33532,0.00759,0.00125,0.34732
3552.34532,-0.00865,0.00121,0.34728
3552.35532,0.00741,0.0012,0.34729
3552.36531,-0.00807,0.00118,0.34722
3552.37531,0.00827,0.00116,0.34724
3552.38531,-0.00793,0.0011,0.34728
3552.39531,0.00763,0.00104,0.34734
3552.4053,-0.0087,0.00104,0.34726
3552.4153,0.00734,0.00119,0.34726
3552.4253,-0.00834,0.00123,0.3472
3552.43529,0.00805,0.00123,0.34726
3552.44529,-0.00773,0.00127,0.34724
3552.45529,0.00821,0.0012,0.34728
3552.46529,-0.00796,0.00095,0.34721
3552.47528,0.00823,0.00069,0.34725
3552.48528,-0.00771,0.00071,0.34726
3552.49528,0.00811,0.00083,0.34723
3552.50528,-0.00802,0.00105,0.34713
