t,p1,p2,h
5702.48563,-0.00115,0.00253,0.32624
5702.49563,-0.01189,0.00239,0.32627
5702.50563,-0.00141,0.00234,0.32623
5702.51563,-0.01247,0.00248,0.32609
5702.52562,-0.00146,0.00246,0.32606
5702.53562,-0.01225,0.00236,0.32606
5702.54562,-0.00136,0.00228,0.32609
5702.55562,-0.01182,0.00228,0.32609
5702.56561,-0.00102,0.00222,0.32617
5702.57561,-0.01221,0.00219,0.32619
5702.58561,-0.00162,0.00215,0.32624
5702.5956,-0.01266,0.00234,0.32615
5702.6056,-0.00165,0.00248,0.32608
5702.6156,-0.0121,0.00257,0.32609
5702.6256,-0.00104,0.00256,0.32617
5702.63559,-0.01203,0.00261,0.32616
5702.64559,-0.00156,0.00271,0.32615
5702.65559,-0.01286,0.00278,0.32611
5702.66559,-0.00187,0.00275,0.32608
5702.67558,-0.01232,0.00298,0.32606
5702.68558,-0.00135,0.00304,0.32613
5702.69558,-0.01248,0.00295,0.32615
5702.70558,-0.00158,0.00291,0.32615
5702.71557,-0.01262,0.00295,0.32607
5702.72557,-0.00183,0.0028,0.32604
5702.73557,-0.01269,0.00284,0.32602
5702.74557,-0.00184,0.003,0.32606
5702.75556,-0.0129,0.00307,0.32613
5702.76556,-0.00213,0.003,0.32618
5702.77556,-0.01327,0.00312,0.32616
5702.78556,-0.00195,0.00315,0.32616
5702.79555,-0.01234,0.0031,0.32616
5702.80555,-0.00136,0.00316,0.3262
5702.81555,-0.01265,0.00357,0.32616
5702.82554,-0.00183,0.00371,0.32617
5702.83554,-0.0131,0.00371,0.32605
5702.84554,-0.00215,0.0038,0.32597
5702.85554,-0.01296,0.00389,0.32598
5702.86553,-0.00197,0.0037,0.32603
5702.87553,-0.01312,0.00352,0.32611
5702.88553,-0.00217,0.00347,0.32615
5702.89553,-0.01334,0.0035,0.32606
5702.90552,-0.00226,0.00332,0.32608
5702.91552,-0.01318,0.00332,0.32613
5702.92552,-0.00207,0.00362,0.32614
5702.93552,-0.01313,0.00378,0.32608
5702.94551,-0.00209,0.00375,0.32612
5702.95551,-0.01322,0.00385,0.32614
5702.96551,-0.00207,0.00395,0.3262
5702.97551,-0.01285,0.004,0.32613
5702.9855,-0.00179,0.00398,0.32609
5702.9955,-0.01295,0.00399,0.32612
5703.0055,-0.00183,0.00389,0.32613
5703.0155,-0.01305,0.00398,0.32607
5703.02549,-0.00178,0.00407,0.32612
5703.03549,-0.01278,0.00407,0.32612
5703.04549,-0.00193,0.00388,0.32614
5703.05549,-0.01334,0.00384,0.32617
5703.06548,-0.00242,0.00392,0.32619
5703.07548,-0.01358,0.00402,0.32617
5703.08548,-0.0024,0.00396,0.32615
5703.09547,-0.01349,0.00386,0.32615
5703.10547,-0.00236,0.00386,0.32614
5703.11547,-0.01355,0.00387,0.32611
5703.12547,-0.0022,0.00386,0.3261
5703.13546,-0.01341,0.00392,0.32605
5703.14546,-0.00227,0.00378,0.32606
5703.15546,-0.01339,0.00383,0.3261
5703.16546,-0.00238,0.00407,0.32616
5703.17545,-0.0135,0.00434,0.32615
5703.18545,-0.00203,0.00429,0.32618
5703.19545,-0.01314,0.00444,0.32621
5703.20545,-0.00185,0.00448,0.32623
5703.21544,-0.01292,0.00439,0.32616
5703.22544,-0.00194,0.00431,0.32619
5703.23544,-0.01315,0.00423,0.32619
5703.24544,-0.00183,0.00423,0.32617
5703.25543,-0.01327,0.00424,0.32612
5703.26543,-0.00213,0.00412,0.32617
5703.27543,-0.01303,0.00416,0.3262
5703.28543,-0.00153,0.00404,0.32619
5703.29542,-0.01257,0.00396,0.32615
5703.30542,-0.00127,0.00393,0.32618
5703.31542,-0.01248,0.00404,0.32617
5703.32541,-0.00104,0.00407,0.32617
5703.33541,-0.01223,0.004,0.32615
5703.34541,-0.00114,0.00394,0.32615
5703.35541,-0.01249,0.00396,0.32612
5703.3654,-0.00106,0.00393,0.32616
5703.3754,-0.01243,0.00398,0.32619
5703.3854,-0.00121,0.0039,0.32621
5703.3954,-0.01228,0.0038,0.32613
5703.40539,-0.00071,0.00386,0.32619
5703.41539,-0.01179,0.00399,0.32619
5703.42539,-0.00033,0.00391,0.32618
5703.43539,-0.01167,0.00404,0.32614
5703.44538,-0.00041,0.0042,0.32605
5703.45538,-0.01187,0.00426,0.32602
5703.46538,-0.00058,0.0042,0.32607
5703.47538,-0.01204,0.00436,0.32609
5703.48537,-0.00081,0.00462,0.32615
5703.49537,-0.0124,0.00472,0.32611
5703.50537,-0.00127,0.00456,0.32608
5703.51537,-0.01257,0.0045,0.32607
5703.52536,-0.00099,0.00464,0.32611
5703.53536,-0.0123,0.00482,0.32608
5703.54536,-0.00098,0.00478,0.32606
5703.55535,-0.01284,0.0045,0.32604
5703.56535,-0.00161,0.00427,0.32612
5703.57535,-0.01268,0.00435,0.32614
5703.58535,-0.00114,0.00446,0.32612
5703.59534,-0.01239,0.00458,0.32607
5703.60534,-0.00099,0.00439,0.32604
5703.61534,-0.01256,0.0041,0.32602
5703.62534,-0.00112,0.004,0.32603
5703.63533,-0.01238,0.00401,0.32603
5703.64533,-0.00094,0.00397,0.32606
5703.65533,-0.01253,0.00394,0.32597
5703.66533,-0.00142,0.0038,0.32598
5703.67532,-0.01293,0.00384,0.32599
5703.68532,-0.00144,0.00382,0.326
5703.69532,-0.01278,0.00384,0.32599
5703.70532,-0.00134,0.00387,0.32604
5703.71531,-0.0128,0.00399,0.32609
5703.72531,-0.0014,0.0041,0.3261
5703.73531,-0.0129,0.00413,0.32609
5703.74531,-0.00125,0.00406,0.32608
5703.7553,-0.0123,0.0041,0.32603
5703.7653,-0.00069,0.00402,0.32607
5703.7753,-0.0123,0.00386,0.32605
5703.7853,-0.00106,0.00381,0.32601
5703.79529,-0.0128,0.00382,0.32604
5703.80529,-0.0014,0.00356,0.32614
5703.81529,-0.01271,0.00326,0.32612
5703.82528,-0.00133,0.00316,0.32613
5703.83528,-0.013,0.00332,0.32609
5703.84528,-0.0014,0.00327,0.32608
5703.85528,-0.01281,0.00322,0.32606
5703.86527,-0.00114,0.00333,0.32603
5703.87527,-0.01249,0.0034,0.32598
5703.88527,-0.00111,0.00332,0.32604
5703.89527,-0.01266,0.00338,0.32607
5703.90526,-0.0011,0.00341,0.32616
5703.91526,-0.01271,0.00352,0.32611
5703.92526,-0.00132,0.00346,0.32606
5703.93526,-0.01292,0.00348,0.32607
5703.94525,-0.0015,0.00366,0.3261
5703.95525,-0.01314,0.00386,0.32609
5703.96525,-0.00173,0.00397,0.32616
5703.97525,-0.01345,0.00394,0.32617
5703.98524,-0.00176,0.00389,0.32618
5703.99524,-0.01296,0.00398,0.32611
5704.00524,-0.00142,0.00393,0.32607
5704.01524,-0.01289,0.004,0.32602
5704.02523,-0.00117,0.00397,0.32601
5704.03523,-0.01282,0.00393,0.32604
5704.04523,-0.00109,0.00374,0.32617
5704.05522,-0.01234,0.0036,0.32615
5704.06522,-0.00069,0.00353,0.32613
5704.07522,-0.01248,0.00372,0.32612
5704.08522,-0.00125,0.00387,0.32612
5704.09521,-0.01303,0.00392,0.32603
5704.10521,-0.00129,0.00395,0.32599
5704.11521,-0.01266,0.00411,0.32594
5704.12521,-0.00116,0.00415,0.32597
5704.1352,-0.01312,0.00416,0.32597
5704.1452,-0.00162,0.00419,0.32603
5704.1552,-0.0133,0.00413,0.32603
5704.1652,-0.0015,0.00386,0.32607
5704.17519,-0.01281,0.00379,0.32606
5704.18519,-0.00105,0.00391,0.32609
5704.19519,-0.0125,0.00399,0.32619
5704.20519,-0.00075,0.00413,0.32626
5704.21518,-0.01254,0.00437,0.32618
5704.22518,-0.00076,0.00434,0.32611
5704.23518,-0.01206,0.00413,0.32602
5704.24518,-0.00038,0.0039,0.32604
5704.25517,-0.01216,0.00377,0.32602
5704.26517,-0.0005,0.0037,0.32612
5704.27517,-0.01232,0.00382,0.32615
5704.28516,-0.00079,0.00385,0.32612
5704.29516,-0.01244,0.00378,0.32608
5704.30516,-0.0008,0.00346,0.3261
5704.31516,-0.01278,0.00329,0.32605
5704.32515,-0.00127,0.00337,0.32607
5704.33515,-0.01349,0.00345,0.32601
5704.34515,-0.00206,0.00355,0.32599
5704.35515,-0.01343,0.00363,0.32598
5704.36514,-0.00132,0.00361,0.32607
5704.37514,-0.01289,0.00366,0.32609
5704.38514,-0.00128,0.00359,0.3261
5704.39514,-0.01334,0.00355,0.32608
5704.40513,-0.00139,0.0036,0.32608
5704.41513,-0.01295,0.00362,0.32599
5704.42513,-0.00115,0.00358,0.32598
5704.43513,-0.01292,0.0036,0.326
5704.44512,-0.00134,0.00353,0.32607
5704.45512,-0.01352,0.00348,0.32604
5704.46512,-0.00162,0.00338,0.32612
5704.47512,-0.01296,0.00358,0.32616
5704.48511,-0.00099,0.00375,0.32618
5704.49511,-0.01286,0.00377,0.3261
5704.50511,-0.0011,0.00366,0.32609
5704.51511,-0.01286,0.00353,0.32608
5704.5251,-0.00054,0.00338,0.32612
5704.5351,-0.01204,0.00326,0.32607
5704.5451,-0.00048,0.00322,0.32603
5704.55509,-0.01257,0.00349,0.326
5704.56509,-0.00075,0.00368,0.32604
5704.57509,-0.01267,0.00381,0.32601
5704.58509,-0.00093,0.00388,0.32606
5704.59508,-0.01292,0.00406,0.32606
5704.60508,-0.0011,0.00403,0.32611
5704.61508,-0.01295,0.00381,0.32611
5704.62508,-0.00109,0.0037,0.32616
5704.63507,-0.01276,0.00368,0.32609
5704.64507,-0.00065,0.00359,0.32607
5704.65507,-0.01233,0.00337,0.32609
5704.66507,-0.00045,0.00321,0.32609
5704.67506,-0.01238,0.00331,0.32606
