t,p1,p2,h
6082.28677,-7e-05,0.0023,0.35475
6082.29677,-0.00156,0.00219,0.35477
6082.30677,0.00072,0.00208,0.35488
6082.31676,-0.00075,0.00222,0.35499
6082.32676,0.00085,0.00238,0.35496
6082.33676,-0.00123,0.00254,0.35486
6082.34675,0.00037,0.0026,0.35477
6082.35675,-0.00164,0.00256,0.35475
6082.36675,5e-05,0.00242,0.35476
6082.37675,-0.00185,0.00233,0.35487
6082.38674,0.00013,0.00233,0.35489
6082.39674,-0.00167,0.00238,0.35485
6082.40674,0.00023,0.00231,0.35486
6082.41674,-0.00169,0.00228,0.35488
6082.42673,0.00029,0.00225,0.35484
6082.43673,-0.0018,0.00241,0.35482
6082.44673,-4e-05,0.00257,0.35482
6082.45673,-0.00192,0.00256,0.3548
6082.46672,0.00029,0.00244,0.35475
6082.47672,-0.0016,0.00238,0.35479
6082.48672,0.00018,0.00221,0.35481
6082.49672,-0.00188,0.00211,0.35479
6082.50671,6e-05,0.00202,0.35482
6082.51671,-0.00177,0.00198,0.35479
6082.52671,0.00023,0.00219,0.35473
6082.53671,-0.00174,0.0025,0.35471
6082.5467,0.00033,0.00248,0.3547
6082.5567,-0.00175,0.00252,0.35469
6082.5667,0.00018,0.0025,0.35472
6082.5767,-0.00177,0.00246,0.35477
6082.58669,0.00063,0.00246,0.35473
6082.59669,-0.00137,0.00254,0.35479
6082.60669,0.00045,0.00256,0.3548
6082.61668,-0.00191,0.00242,0.35477
6082.62668,0.0001,0.00211,0.35479
6082.63668,-0.00202,0.00189,0.35482
6082.64668,4e-05,0.00175,0.35481
6082.65667,-0.00203,0.00188,0.35479
6082.66667,0.00029,0.00203,0.35481
6082.67667,-0.00188,0.00226,0.35484
6082.68667,0.00026,0.00237,0.35486
6082.69666,-0.00182,0.00235,0.35489
6082.70666,0.00047,0.00218,0.35486
6082.71666,-0.00168,0.00225,0.35482
6082.72666,0.0007,0.0024,0.35486
6082.73665,-0.00148,0.00259,0.35489
6082.74665,0.00038,0.00253,0.35495
6082.75665,-0.00197,0.0024,0.35489
6082.76665,0.00042,0.00232,0.35482
6082.77664,-0.00172,0.00228,0.35484
6082.78664,0.00039,0.0023,0.35487
6082.79664,-0.00206,0.00257,0.35489
6082.80664,0.00022,0.00273,0.35488
6082.81663,-0.00173,0.00273,0.35481
6082.82663,0.00098,0.00247,0.35477
6082.83663,-0.00143,0.00227,0.35475
6082.84662,0.00079,0.00215,0.35481
6082.85662,-0.00166,0.00209,0.35485
6082.86662,0.00067,0.00208,0.35477
6082.87662,-0.00166,0.00222,0.35471
6082.88661,0.00082,0.00217,0.35474
6082.89661,-0.00149,0.00204,0.35475
6082.90661,0.00085,0.00185,0.35481
6082.91661,-0.00185,0.00208,0.35481
6082.9266,0.00016,0.00234,0.35474
6082.9366,-0.00234,0.00241,0.35476
6082.9466,0.00034,0.00233,0.35476
6082.9566,-0.00195,0.00245,0.35476
6082.96659,0.00066,0.00255,0.35478
6082.97659,-0.00177,0.00261,0.35474
6082.98659,0.00077,0.00264,0.35465
6082.99659,-0.00199,0.00262,0.3547
6083.00658,0.00025,0.0026,0.35477
6083.01658,-0.00228,0.00276,0.3548
6083.02658,0.00035,0.00273,0.35479
6083.03658,-0.00264,0.00268,0.35476
6083.04657,-0.00061,0.0025,0.35477
6083.05657,-0.00331,0.00252,0.35481
6083.06657,-0.00046,0.00259,0.35481
6083.07656,-0.00289,0.00274,0.35475
6083.08656,-0.00012,0.00282,0.35472
6083.09656,-0.00278,0.00275,0.35471
6083.10656,0.00012,0.00264,0.35472
6083.11655,-0.0025,0.00277,0.35471
6083.12655,0.00035,0.00291,0.35474
6083.13655,-0.00239,0.00295,0.35474
6083.14655,0.0003,0.00281,0.35474
6083.15654,-0.00233,0.00267,0.35476
6083.16654,0.00051,0.00254,0.35483
6083.17654,-0.00232,0.0024,0.35481
6083.18654,0.00058,0.00217,0.35477
6083.19653,-0.00209,0.00215,0.35474
6083.20653,0.00077,0.00216,0.35466
6083.21653,-0.00191,0.00228,0.35462
6083.22653,0.00116,0.00233,0.35467
6083.23652,-0.00177,0.0023,0.35474
6083.24652,0.00078,0.00213,0.35469
6083.25652,-0.00229,0.00213,0.35464
6083.26652,0.00068,0.00206,0.35471
6083.27651,-0.00191,0.0022,0.35474
6083.28651,0.00116,0.00224,0.35472
6083.29651,-0.0018,0.00207,0.35478
6083.30651,0.00138,0.00175,0.3548
6083.3165,-0.00152,0.00166,0.35476
6083.3265,0.00119,0.00166,0.35476
6083.3365,-0.00186,0.00174,0.35472
6083.34649,0.00105,0.00173,0.35465
6083.35649,-0.00232,0.00181,0.35463
6083.36649,0.00077,0.00177,0.3547
6083.37649,-0.00211,0.00183,0.35475
6083.38648,0.00092,0.00189,0.35474
6083.39648,-0.00192,0.002,0.35471
6083.40648,0.00128,0.00219,0.35472
6083.41648,-0.00189,0.00235,0.35481
6083.42647,0.00125,0.00221,0.35485
6083.43647,-0.00182,0.00194,0.35481
6083.44647,0.00144,0.0019,0.35472
6083.45647,-0.00158,0.00216,0.35471
6083.46646,0.00149,0.00228,0.35471
6083.47646,-0.00185,0.00231,0.35474
6083.48646,0.00133,0.00223,0.35476
6083.49646,-0.00161,0.0023,0.35483
6083.50645,0.00175,0.0024,0.35487
6083.51645,-0.00138,0.00239,0.35484
6083.52645,0.00186,0.0021,0.3548
6083.53645,-0.00138,0.00204,0.35483
6083.54644,0.00202,0.00203,0.3548
6083.55644,-0.00129,0.00214,0.35476
6083.56644,0.00215,0.00223,0.35482
6083.57643,-0.00078,0.00241,0.35481
6083.58643,0.00252,0.00247,0.35477
6083.59643,-0.001,0.00253,0.35472
6083.60643,0.00218,0.00252,0.35471
6083.61642,-0.00125,0.00272,0.35467
6083.62642,0.00209,0.00274,0.35466
6083.63642,-0.00134,0.00261,0.35463
6083.64642,0.00196,0.00244,0.35461
6083.65641,-0.00149,0.00245,0.35461
6083.66641,0.00199,0.00257,0.35465
6083.67641,-0.00139,0.00267,0.35469
6083.68641,0.00214,0.00269,0.3547
6083.6964,-0.00144,0.00277,0.35471
6083.7064,0.00175,0.00271,0.35471
6083.7164,-0.00155,0.00278,0.35462
6083.7264,0.00241,0.00282,0.35464
6083.73639,-0.00096,0.00275,0.35473
6083.74639,0.00217,0.00254,0.35484
6083.75639,-0.00144,0.00244,0.35479
6083.76639,0.00209,0.00226,0.35473
6083.77638,-0.00132,0.0023,0.35472
6083.78638,0.00229,0.00239,0.35477
6083.79638,-0.00134,0.00236,0.35474
6083.80637,0.00196,0.00215,0.35472
6083.81637,-0.00176,0.00236,0.35474
6083.82637,0.00195,0.00253,0.35477
6083.83637,-0.00178,0.00251,0.35477
6083.84636,0.00157,0.0024,0.3547
6083.85636,-0.00207,0.00261,0.35465
6083.86636,0.00165,0.00266,0.35468
6083.87636,-0.00199,0.00255,0.35472
6083.88635,0.00161,0.00247,0.35473
6083.89635,-0.00216,0.00246,0.35469
6083.90635,0.00152,0.0025,0.35465
6083.91635,-0.00184,0.00248,0.35467
6083.92634,0.0024,0.00238,0.35476
6083.93634,-0.00114,0.00248,0.35484
6083.94634,0.00236,0.00247,0.3548
6083.95634,-0.00147,0.00244,0.35471
6083.96633,0.00268,0.00248,0.3547
6083.97633,-0.00072,0.00264,0.35474
6083.98633,0.00297,0.00255,0.35476
6083.99633,-0.00108,0.00248,0.35479
6084.00632,0.00259,0.00249,0.35475
6084.01632,-0.00119,0.00257,0.35471
6084.02632,0.00274,0.00255,0.35475
6084.03632,-0.00107,0.00257,0.35478
6084.04631,0.00267,0.00266,0.3548
6084.05631,-0.00113,0.00275,0.35482
6084.06631,0.00302,0.00268,0.35483
6084.0763,-0.00068,0.0026,0.35479
6084.0863,0.003,0.00253,0.35486
6084.0963,-0.00118,0.00268,0.35484
6084.1063,0.00284,0.00285,0.35482
6084.11629,-0.00085,0.00289,0.35477
6084.12629,0.00303,0.00265,0.35477
6084.13629,-0.00109,0.00266,0.35478
6084.14629,0.00279,0.00282,0.35472
6084.15628,-0.00106,0.00298,0.35469
6084.16628,0.00307,0.00288,0.35476
6084.17628,-0.00078,0.00259,0.35484
6084.18628,0.00316,0.00239,0.35485
6084.19627,-0.00109,0.00248,0.35477
6084.20627,0.00277,0.00245,0.35473
6084.21627,-0.00124,0.00255,0.3547
6084.22627,0.0027,0.00275,0.35474
6084.23626,-0.00141,0.00298,0.35484
6084.24626,0.00269,0.00307,0.35485
6084.25626,-0.00115,0.00309,0.35478
6084.26626,0.00312,0.00316,0.35473
6084.27625,-0.00117,0.00316,0.35475
6084.28625,0.00269,0.00301,0.35469
6084.29625,-0.00145,0.00301,0.35465
6084.30624,0.0027,0.00281,0.35463
6084.31624,-0.00163,0.00277,0.35465
6084.32624,0.00245,0.00281,0.3547
6084.33624,-0.00149,0.00297,0.35471
6084.34623,0.00293,0.00297,0.3547
6084.35623,-0.00113,0.00297,0.35469
6084.36623,0.00293,0.00296,0.35468
6084.37623,-0.00139,0.00294,0.3547
6084.38622,0.00291,0.00274,0.35467
6084.39622,-0.00129,0.00283,0.35467
6084.40622,0.0027,0.00294,0.35472
6084.41622,-0.0016,0.00298,0.35469
6084.42621,0.00278,0.00303,0.35465
6084.43621,-0.00137,0.00311,0.35467
6084.44621,0.00291,0.00307,0.35474
6084.45621,-0.00144,0.00309,0.35478
6084.4662,0.003,0.00298,0.35479
6084.4762,-0.00138,0.0028,0.35475
6084.4862,0.00269,0.00257,0.3547
6084.4962,-0.00179,0.00266,0.35468
6084.50619,0.00252,0.00278,0.35468
6084.51619,-0.00172,0.00301,0.35471
6084.52619,0.00249,0.00304,0.35473
6084.53618,-0.00172,0.00309,0.35472
6084.54618,0.00306,0.00288,0.35467
6084.55618,-0.00102,0.0028,0.35463
6084.56618,0.00328,0.00283,0.35462
6084.57617,-0.00128,0.00286,0.35464
6084.58617,0.00304,0.00288,0.35469
6084.59617,-0.00128,0.00316,0.35471
6084.60617,0.00341,0.00342,0.35474
6084.61616,-0.001,0.00345,0.35478
6084.62616,0.00334,0.00341,0.3547
6084.63616,-0.00114,0.00344,0.35463
6084.64616,0.00317,0.00358,0.35469
6084.65615,-0.0013,0.00353,0.35475
6084.66615,0.00316,0.00335,0.3547
6084.67615,-0.0013,0.00334,0.35467
6084.68615,0.00318,0.00325,0.3547
6084.69614,-0.00125,0.00328,0.35474
6084.70614,0.00325,0.00324,0.35478
6084.71614,-0.00137,0.00325,0.35475
6084.72614,0.003,0.00321,0.35467
6084.73613,-0.00162,0.00321,0.35465
6084.74613,0.0029,0.00307,0.35473
6084.75613,-0.00189,0.00296,0.35486
6084.76613,0.00256,0.00295,0.35486
6084.77612,-0.00181,0.00291,0.35475
6084.78612,0.0032,0.0028,0.35467
6084.79612,-0.00109,0.00295,0.3546
6084.80611,0.00371,0.00298,0.35461
6084.81611,-0.00114,0.00296,0.35465
6084.82611,0.00325,0.00303,0.3547
