t,p1,p2,h
4434.14578,-0.00752,-5e-05,0.34688
4434.15578,-0.00357,6e-05,0.3469
4434.16578,-0.0073,-0.00013,0.34685
4434.17578,-0.00369,-0.00015,0.34689
4434.18577,-0.00766,-0.00014,0.34688
4434.19577,-0.00367,-6e-05,0.3469
4434.20577,-0.00729,-0.00011,0.34685
4434.21577,-0.0035,-9e-05,0.34684
4434.22576,-0.00728,-0.00011,0.3468
4434.23576,-0.00344,-0.0002,0.34678
4434.24576,-0.00714,-0.0004,0.34678
4434.25576,-0.00346,-0.00042,0.3469
4434.26575,-0.00716,-0.00041,0.34696
4434.27575,-0.00354,-0.00029,0.34696
4434.28575,-0.00717,-0.00015,0.34693
4434.29575,-0.00337,-2e-05,0.34694
4434.30574,-0.00702,0.00014,0.34698
4434.31574,-0.0032,0.00031,0.34701
4434.32574,-0.00683,0.00027,0.34695
4434.33573,-0.00343,0.00018,0.34694
4434.34573,-0.00712,-0.00015,0.34688
4434.35573,-0.00339,-0.00041,0.34684
4434.36573,-0.00694,-0.00055,0.34684
4434.37572,-0.00347,-0.00045,0.34687
4434.38572,-0.00683,-0.00035,0.34687
4434.39572,-0.00301,-0.00036,0.34686
4434.40572,-0.00668,-0.00045,0.34682
4434.41571,-0.00355,-0.00045,0.34681
4434.42571,-0.00722,-0.00038,0.34684
4434.43571,-0.00358,-0.00019,0.34692
4434.44571,-0.00697,-0.00016,0.34689
4434.4557,-0.00359,-0.00021,0.34685
4434.4657,-0.00705,-0.00017,0.34681
4434.4757,-0.00359,0.00012,0.34685
4434.4857,-0.00701,0.00041,0.34684
4434.49569,-0.00358,0.00061,0.34679
4434.50569,-0.00705,0.00058,0.34681
4434.51569,-0.00369,0.00034,0.3469
4434.52569,-0.00701,0.00013,0.34689
4434.53568,-0.00373,0.00022,0.3469
4434.54568,-0.00714,0.00023,0.3468
4434.55568,-0.00359,0.00027,0.34677
4434.56567,-0.00664,0.00036,0.34681
4434.57567,-0.00342,0.00055,0.34687
4434.58567,-0.00695,0.00063,0.3469
4434.59567,-0.00385,0.00058,0.34689
4434.60566,-0.00729,0.0005,0.34677
4434.61566,-0.00416,0.00046,0.34678
4434.62566,-0.00752,0.00039,0.34685
4434.63566,-0.00431,0.0006,0.34688
4434.64565,-0.00743,0.00063,0.34688
4434.65565,-0.00403,0.00029,0.34691
4434.66565,-0.00697,-7e-05,0.34691
4434.67565,-0.00384,-0.00012,0.34699
4434.68564,-0.00688,6e-05,0.34698
4434.69564,-0.00357,0.00037,0.34691
4434.70564,-0.00685,0.00039,0.34685
4434.71564,-0.00389,0.00041,0.34682
4434.72563,-0.007,0.00031,0.34686
4434.73563,-0.00383,0.00017,0.34694
4434.74563,-0.00686,0.00011,0.34695
4434.75563,-0.00374,0.00021,0.34688
4434.76562,-0.00676,0.00029,0.34686
4434.77562,-0.00368,0.00047,0.34689
4434.78562,-0.00656,0.00059,0.34688
4434.79562,-0.00367,0.00065,0.34693
4434.80561,-0.00687,0.00049,0.34691
4434.81561,-0.00384,0.00024,0.34687
4434.82561,-0.00666,0.00019,0.34687
4434.8356,-0.00369,0.00027,0.34689
4434.8456,-0.00688,0.00024,0.34687
4434.8556,-0.00406,0.00027,0.34689
4434.8656,-0.00699,0.0002,0.34683
4434.87559,-0.00413,0.00022,0.34684
4434.88559,-0.007,0.00025,0.34689
4434.89559,-0.00429,0.00032,0.34694
4434.90559,-0.00746,0.00042,0.34687
4434.91558,-0.00465,0.00064,0.34687
4434.92558,-0.00724,0.00076,0.34691
4434.93558,-0.00444,0.00083,0.34697
4434.94558,-0.00742,0.00075,0.34696
4434.95557,-0.0048,0.00076,0.34692
4434.96557,-0.00749,0.00058,0.3469
4434.97557,-0.00444,0.00063,0.34693
4434.98557,-0.00685,0.00067,0.34692
4434.99556,-0.00386,0.00081,0.3469
4435.00556,-0.00655,0.00082,0.34684
4435.01556,-0.00397,0.00095,0.34682
4435.02556,-0.00682,0.00125,0.34683
4435.03555,-0.0042,0.00128,0.34692
4435.04555,-0.00672,0.00103,0.34698
4435.05555,-0.00421,0.00087,0.34701
4435.06554,-0.00715,0.00087,0.34695
4435.07554,-0.0046,0.00099,0.34691
4435.08554,-0.00723,0.00101,0.34684
4435.09554,-0.00445,0.00098,0.34682
4435.10553,-0.00679,0.00091,0.34682
4435.11553,-0.00411,0.00099,0.3469
4435.12553,-0.0068,0.00095,0.34687
4435.13553,-0.00424,0.00086,0.34685
4435.14552,-0.0068,0.00069,0.34684
4435.15552,-0.0042,0.00071,0.34686
4435.16552,-0.00674,0.00078,0.34684
4435.17552,-0.00427,0.00083,0.34686
4435.18551,-0.00687,0.00075,0.34677
4435.19551,-0.00471,0.00078,0.34681
4435.20551,-0.00737,0.00084,0.34684
4435.21551,-0.00482,0.0009,0.34692
4435.2255,-0.00722,0.00084,0.34687
4435.2355,-0.00489,0.0008,0.34681
4435.2455,-0.00763,0.00069,0.3468
4435.2555,-0.00505,0.0006,0.34681
4435.26549,-0.00704,0.0004,0.34684
4435.27549,-0.0043,0.00028,0.34688
4435.28549,-0.00647,0.00041,0.34685
4435.29549,-0.00417,0.00052,0.3469
4435.30548,-0.00698,0.00036,0.34692
4435.31548,-0.00485,0.00027,0.34691
4435.32548,-0.00715,0.00026,0.34689
4435.33547,-0.00459,0.00045,0.3469
4435.34547,-0.00648,0.00065,0.34684
4435.35547,-0.00371,0.00076,0.34682
4435.36547,-0.00595,0.00075,0.34683
4435.37546,-0.00397,0.00075,0.34689
4435.38546,-0.0067,0.00063,0.34692
4435.39546,-0.0047,0.00067,0.34689
4435.40546,-0.00707,0.00061,0.34677
4435.41545,-0.00467,0.00078,0.34677
4435.42545,-0.00664,0.00087,0.34682
4435.43545,-0.00444,0.00072,0.34682
4435.44545,-0.00669,0.00056,0.34675
4435.45544,-0.00446,0.0005,0.3468
4435.46544,-0.00673,0.00058,0.34691
4435.47544,-0.00451,0.00079,0.34695
4435.48544,-0.00658,0.00086,0.34685
4435.49543,-0.00472,0.00095,0.34679
4435.50543,-0.00716,0.00081,0.34675
4435.51543,-0.005,0.00061,0.34682
4435.52543,-0.0071,0.00056,0.3469
4435.53542,-0.00486,0.0007,0.34693
4435.54542,-0.00681,0.0006,0.34694
4435.55542,-0.00461,0.00045,0.34695
4435.56541,-0.00668,0.0002,0.34692
4435.57541,-0.00471,6e-05,0.34689
4435.58541,-0.00656,-1e-05,0.34686
4435.59541,-0.00437,5e-05,0.34687
4435.6054,-0.00651,0.00024,0.34688
4435.6154,-0.00463,0.00045,0.34687
4435.6254,-0.0064,0.00059,0.34686
4435.6354,-0.00406,0.00067,0.34696
4435.64539,-0.00601,0.00056,0.34702
4435.65539,-0.00429,0.0006,0.34701
4435.66539,-0.00653,0.00059,0.34694
4435.67539,-0.0047,0.00055,0.34695
4435.68538,-0.00671,0.00044,0.34696
4435.69538,-0.00484,0.00044,0.34693
4435.70538,-0.00673,0.00059,0.34686
4435.71538,-0.00459,0.00079,0.34687
4435.72537,-0.00638,0.00075,0.3468
4435.73537,-0.00451,0.00065,0.34685
4435.74537,-0.00636,0.00056,0.34694
4435.75537,-0.00453,0.00082,0.34695
4435.76536,-0.00624,0.0009,0.34689
4435.77536,-0.00442,0.00081,0.3469
4435.78536,-0.00624,0.00072,0.3469
4435.79535,-0.00454,0.00084,0.34691
