t,p1,p2,h
4837.76072,0.00411,0.00277,0.33341
4837.77072,0.01067,0.00295,0.33348
4837.78072,0.00422,0.00315,0.33351
4837.79071,0.01053,0.00296,0.33351
4837.80071,0.00386,0.00266,0.33344
4837.81071,0.01019,0.00251,0.33333
4837.82071,0.00362,0.00239,0.33329
4837.8307,0.00998,0.00228,0.33333
4837.8407,0.00372,0.00232,0.33335
4837.8507,0.01018,0.00234,0.33339
4837.8607,0.00394,0.00244,0.33344
4837.87069,0.01015,0.00252,0.33349
4837.88069,0.00384,0.00259,0.33351
4837.89069,0.00991,0.00249,0.3335
4837.90069,0.00382,0.0024,0.33342
4837.91068,0.00989,0.00235,0.33337
4837.92068,0.00364,0.00253,0.33332
4837.93068,0.0095,0.00264,0.33331
4837.94068,0.00348,0.00257,0.3333
4837.95067,0.00954,0.00245,0.33333
4837.96067,0.00363,0.00236,0.33334
4837.97067,0.00967,0.00222,0.33338
4837.98067,0.00377,0.00221,0.33341
4837.99066,0.00963,0.00207,0.33335
4838.00066,0.00382,0.00197,0.33324
4838.01066,0.00983,0.00208,0.33323
4838.02065,0.0041,0.00222,0.33328
4838.03065,0.00981,0.00229,0.33338
4838.04065,0.00402,0.00242,0.33343
4838.05065,0.00954,0.00249,0.33346
4838.06064,0.00382,0.00255,0.33347
4838.07064,0.00971,0.00259,0.33357
4838.08064,0.00431,0.00266,0.33359
4838.09064,0.00992,0.00288,0.33349
4838.10063,0.00406,0.00288,0.33347
4838.11063,0.00929,0.00268,0.33353
4838.12063,0.00338,0.00252,0.33352
4838.13063,0.00884,0.00236,0.33344
4838.14062,0.00379,0.00237,0.33343
4838.15062,0.00947,0.00246,0.33348
4838.16062,0.00392,0.00247,0.3335
4838.17062,0.009,0.00248,0.33353
4838.18061,0.0035,0.00265,0.33357
4838.19061,0.0088,0.00257,0.33364
4838.20061,0.00327,0.00239,0.33364
4838.21061,0.00855,0.00224,0.33361
4838.2206,0.00345,0.00226,0.33357
4838.2306,0.00882,0.00214,0.33353
4838.2406,0.00373,0.00211,0.33353
4838.2506,0.00905,0.00236,0.33354
4838.26059,0.00403,0.00273,0.33351
4838.27059,0.00917,0.00284,0.33346
4838.28059,0.00407,0.00282,0.33341
4838.29058,0.00907,0.0028,0.33341
4838.30058,0.00409,0.00281,0.33342
4838.31058,0.00905,0.00267,0.33349
4838.32058,0.00411,0.00252,0.33352
4838.33057,0.0092,0.00235,0.33359
4838.34057,0.0042,0.0023,0.3336
4838.35057,0.00882,0.00224,0.33355
4838.36057,0.00385,0.00244,0.33354
4838.37056,0.00861,0.00255,0.33357
4838.38056,0.00405,0.0023,0.33353
4838.39056,0.00896,0.00227,0.33348
4838.40056,0.00427,0.00262,0.33353
4838.41055,0.00876,0.00297,0.33356
4838.42055,0.00396,0.00316,0.33352
4838.43055,0.00865,0.00296,0.33353
4838.44055,0.0044,0.00273,0.33355
4838.45054,0.00915,0.00252,0.33355
4838.46054,0.00463,0.00256,0.33355
4838.47054,0.00908,0.00262,0.33355
4838.48054,0.00429,0.00266,0.33356
4838.49053,0.00844,0.00264,0.3336
4838.50053,0.00385,0.00272,0.3336
4838.51053,0.00837,0.00277,0.33362
4838.52052,0.00433,0.00271,0.33365
4838.53052,0.00889,0.00251,0.33358
4838.54052,0.00465,0.00245,0.33352
4838.55052,0.00894,0.00264,0.33346
4838.56051,0.00463,0.00293,0.33341
4838.57051,0.00878,0.00284,0.33341
4838.58051,0.00436,0.00259,0.33348
4838.59051,0.00844,0.00243,0.33354
4838.6005,0.00425,0.00254,0.33356
4838.6105,0.00849,0.00267,0.33355
4838.6205,0.00462,0.00277,0.33351
4838.6305,0.00895,0.0027,0.33346
4838.64049,0.00505,0.00272,0.33342
4838.65049,0.00897,0.00269,0.33344
4838.66049,0.00486,0.00256,0.33346
4838.67049,0.00877,0.00238,0.33352
4838.68048,0.00488,0.0023,0.3336
4838.69048,0.00886,0.00232,0.33362
4838.70048,0.00486,0.00243,0.33355
4838.71048,0.00859,0.00251,0.33353
4838.72047,0.00475,0.00278,0.3335
4838.73047,0.00878,0.00285,0.33348
4838.74047,0.00502,0.00284,0.33345
4838.75047,0.00867,0.00273,0.33342
4838.76046,0.00488,0.0028,0.33344
4838.77046,0.00824,0.00299,0.33352
4838.78046,0.00406,0.00302,0.33356
4838.79045,0.00753,0.00311,0.33353
4838.80045,0.00391,0.00317,0.33353
4838.81045,0.00739,0.00299,0.33352
4838.82045,0.00393,0.00289,0.33352
4838.83044,0.00761,0.00296,0.33352
4838.84044,0.00425,0.00311,0.33351
4838.85044,0.00793,0.00304,0.33351
4838.86044,0.00469,0.00301,0.33354
4838.87043,0.00822,0.00286,0.33351
4838.88043,0.00481,0.00269,0.33345
4838.89043,0.00808,0.00271,0.33343
4838.90043,0.00459,0.00281,0.33346
4838.91042,0.00775,0.00277,0.33348
4838.92042,0.00465,0.0027,0.33346
4838.93042,0.00786,0.00263,0.3335
4838.94042,0.00453,0.00273,0.33361
4838.95041,0.00775,0.00269,0.33362
4838.96041,0.00469,0.00268,0.33355
4838.97041,0.00766,0.0028,0.3335
4838.98041,0.00461,0.00296,0.3335
4838.9904,0.00767,0.00306,0.33349
4839.0004,0.00449,0.0032,0.3335
4839.0104,0.00731,0.00329,0.33354
4839.02039,0.00445,0.00342,0.33355
4839.03039,0.00745,0.00347,0.33354
4839.04039,0.00469,0.00356,0.33354
4839.05039,0.00775,0.0035,0.33359
4839.06038,0.00467,0.00332,0.33361
4839.07038,0.00739,0.00312,0.33353
4839.08038,0.00478,0.00307,0.33347
4839.09038,0.00759,0.00295,0.33343
4839.10037,0.00494,0.00301,0.33345
4839.11037,0.00786,0.00301,0.33348
4839.12037,0.00533,0.00294,0.33347
4839.13037,0.00809,0.00274,0.33348
4839.14036,0.00566,0.00279,0.33348
4839.15036,0.00804,0.00297,0.33358
4839.16036,0.0054,0.00311,0.33365
4839.17036,0.00798,0.00302,0.33359
4839.18035,0.00559,0.00281,0.33352
4839.19035,0.00811,0.00262,0.33345
4839.20035,0.00574,0.00261,0.33345
4839.21035,0.00818,0.00265,0.33343
4839.22034,0.0059,0.00273,0.33345
4839.23034,0.00828,0.00278,0.33348
4839.24034,0.00589,0.00296,0.33344
4839.25033,0.008,0.00301,0.33343
4839.26033,0.0056,0.00313,0.33349
4839.27033,0.00784,0.00324,0.33349
4839.28033,0.00556,0.00346,0.33345
4839.29032,0.00745,0.0035,0.33343
4839.30032,0.00519,0.00351,0.33349
4839.31032,0.00719,0.00361,0.33351
4839.32032,0.005,0.00358,0.33351
4839.33031,0.00693,0.00334,0.33349
4839.34031,0.00487,0.00327,0.33347
4839.35031,0.00693,0.00322,0.33348
4839.36031,0.00506,0.00317,0.33352
4839.3703,0.00691,0.00299,0.33355
4839.3803,0.00488,0.00307,0.33357
4839.3903,0.00671,0.00317,0.33357
4839.4003,0.00494,0.00324,0.33357
4839.41029,0.00682,0.00322,0.33354
4839.42029,0.00523,0.00332,0.33356
4839.43029,0.00693,0.00332,0.33358
4839.44029,0.00528,0.00338,0.33356
4839.45028,0.00691,0.00317,0.33355
4839.46028,0.00538,0.00307,0.33359
4839.47028,0.00704,0.00303,0.33357
4839.48028,0.00543,0.00305,0.33352
4839.49027,0.00683,0.00295,0.33339
4839.50027,0.00527,0.00301,0.33341
4839.51027,0.00682,0.00312,0.33351
4839.52026,0.00535,0.00313,0.33353
4839.53026,0.00665,0.00317,0.33348
4839.54026,0.0053,0.00342,0.33351
4839.55026,0.00679,0.00355,0.3335
4839.56025,0.00564,0.00367,0.33351
4839.57025,0.00707,0.00371,0.33351
4839.58025,0.00565,0.00362,0.33357
4839.59025,0.00666,0.00353,0.33355
4839.60024,0.00544,0.00367,0.33352
4839.61024,0.00671,0.0038,0.33345
4839.62024,0.00577,0.00385,0.3335
4839.63024,0.00681,0.00386,0.33358
4839.64023,0.00555,0.00396,0.3336
4839.65023,0.00663,0.00404,0.33356
4839.66023,0.00576,0.00406,0.33352
4839.67023,0.00685,0.0038,0.33352
4839.68022,0.00597,0.00357,0.33358
4839.69022,0.00694,0.00336,0.33364
4839.70022,0.00606,0.00335,0.33358
4839.71022,0.00711,0.0035,0.3335
4839.72021,0.00624,0.00374,0.33357
4839.73021,0.00693,0.00364,0.33358
4839.74021,0.00594,0.00342,0.3335
4839.7502,0.00637,0.00329,0.33349
4839.7602,0.00572,0.00345,0.33354
4839.7702,0.00661,0.00352,0.33357
4839.7802,0.00582,0.00344,0.3336
4839.79019,0.00645,0.00339,0.33362
4839.80019,0.006,0.00344,0.33365
4839.81019,0.00664,0.00346,0.33363
4839.82019,0.00599,0.00345,0.33357
4839.83018,0.00643,0.00345,0.33351
4839.84018,0.0061,0.00358,0.33348
4839.85018,0.00663,0.0036,0.3335
4839.86018,0.00609,0.00363,0.33356
4839.87017,0.00626,0.00369,0.33353
4839.88017,0.00583,0.00385,0.33294
4839.89017,0.00616,0.00399,0.33139
4839.90017,0.00595,0.0042,0.33204
4839.91016,0.00635,0.00418,0.33312
4839.92016,0.00632,0.004,0.33352
4839.93016,0.00647,0.00389,0.33353
4839.94016,0.0063,0.00393,0.33352
4839.95015,0.00647,0.00388,0.33351
4839.96015,0.00625,0.00388,0.33349
4839.97015,0.00606,0.00387,0.33349
4839.98014,0.00573,0.00401,0.3335
4839.99014,0.00571,0.00388,0.33345
4840.00014,0.00593,0.00376,0.33344
4840.01014,0.00611,0.00361,0.33346
4840.02013,0.00633,0.00359,0.33352
4840.03013,0.00621,0.00336,0.33352
4840.04013,0.0063,0.00352,0.3335
4840.05013,0.00612,0.00367,0.33343
4840.06012,0.00628,0.0037,0.33346
4840.07012,0.0059,0.00376,0.3335
4840.08012,0.00621,0.00388,0.3335
4840.09012,0.00634,0.00386,0.33347
4840.10011,0.00699,0.00388,0.3335
4840.11011,0.00677,0.00393,0.33348
4840.12011,0.00697,0.00407,0.33347
4840.13011,0.00634,0.00411,0.33348
4840.1401,0.00656,0.00422,0.33348
4840.1501,0.00612,0.00422,0.33343
4840.1601,0.00655,0.00401,0.33347
4840.1701,0.00608,0.00372,0.33345
4840.18009,0.00667,0.00354,0.33342
4840.19009,0.00603,0.00331,0.33338
4840.20009,0.00655,0.00333,0.33338
4840.21009,0.00588,0.00317,0.3334
4840.22008,0.00652,0.00304,0.33344
4840.23008,0.00579,0.003,0.33347
4840.24008,0.00674,0.00308,0.33345
4840.25007,0.00628,0.00296,0.33341
4840.26007,0.00715,0.00299,0.33339
4840.27007,0.00645,0.00295,0.33339
4840.28007,0.00747,0.00303,0.33344
4840.29006,0.00663,0.00301,0.33348
4840.30006,0.00735,0.003,0.33345
4840.31006,0.00626,0.00307,0.33341
4840.32006,0.00719,0.00331,0.33345
4840.33005,0.00623,0.00347,0.3335
4840.34005,0.0072,0.00351,0.33349
4840.35005,0.00622,0.00351,0.33341
4840.36005,0.00726,0.00368,0.33344
4840.37004,0.00605,0.00383,0.33346
4840.38004,0.00719,0.00395,0.33343
4840.39004,0.00611,0.00386,0.3334
4840.40004,0.00727,0.00373,0.33336
4840.41003,0.00629,0.00364,0.33342
4840.42003,0.00738,0.00366,0.3335
4840.43003,0.00592,0.00345,0.33354
4840.44003,0.0071,0.00351,0.33353
4840.45002,0.00567,0.00368,0.33354
4840.46002,0.00713,0.00363,0.33358
4840.47002,0.00609,0.0034,0.33351
4840.48001,0.00747,0.00334,0.33345
4840.49001,0.0059,0.00341,0.3334
4840.50001,0.00706,0.00356,0.33343
4840.51001,0.00549,0.00349,0.33348
4840.52,0.00704,0.00355,0.3335
4840.53,0.00576,0.00363,0.33345
4840.54,0.00761,0.0037,0.3334
4840.55,0.0059,0.00379,0.33338
4840.55999,0.00714,0.00378,0.33337
4840.56999,0.00532,0.00375,0.33333
4840.57999,0.0071,0.00369,0.33333
4840.58999,0.00552,0.00352,0.33339
4840.59998,0.00758,0.00357,0.33346
4840.60998,0.00592,0.00355,0.33339
4840.61998,0.00738,0.00372,0.33341
4840.62998,0.00503,0.00368,0.33349
4840.63997,0.00677,0.00353,0.33352
4840.64997,0.00479,0.00349,0.33343
4840.65997,0.0067,0.00369,0.3334
4840.66997,0.0048,0.00382,0.33339
4840.67996,0.00688,0.00406,0.33344
4840.68996,0.0051,0.00414,0.33345
4840.69996,0.00735,0.00411,0.33349
4840.70995,0.00531,0.00388,0.33351
4840.71995,0.00704,0.00379,0.33354
4840.72995,0.00467,0.00377,0.33351
4840.73995,0.00685,0.00374,0.33349
4840.74994,0.00453,0.00373,0.33346
4840.75994,0.00653,0.00395,0.33347
4840.76994,0.00412,0.00398,0.33346
4840.77994,0.00643,0.00392,0.33339
4840.78993,0.00421,0.00388,0.3334
4840.79993,0.0068,0.00388,0.33346
4840.80993,0.00441,0.00403,0.33346
4840.81993,0.0068,0.00429,0.33353
4840.82992,0.00439,0.00408,0.33357
4840.83992,0.00707,0.00383,0.33353
4840.84992,0.00477,0.00364,0.33346
4840.85992,0.00749,0.00365,0.33347
4840.86991,0.00494,0.0038,0.33347
4840.87991,0.00735,0.00402,0.33347
4840.88991,0.00455,0.00392,0.33344
4840.89991,0.00722,0.0037,0.33343
4840.9099,0.00455,0.00361,0.33337
4840.9199,0.00714,0.00377,0.33339
4840.9299,0.00411,0.00378,0.33341
4840.9399,0.00699,0.00384,0.33347
4840.94989,0.00442,0.00393,0.3335
4840.95989,0.00714,0.00391,0.33355
4840.96989,0.00411,0.00372,0.3335
4840.97988,0.00714,0.0037,0.33341
4840.98988,0.00434,0.00373,0.33338
4840.99988,0.00722,0.00371,0.33342
4841.00988,0.00422,0.00357,0.33347
4841.01987,0.00734,0.00365,0.33357
4841.02987,0.00432,0.00363,0.33355
4841.03987,0.00757,0.00359,0.3335
4841.04987,0.00467,0.00357,0.33349
4841.05986,0.00789,0.0037,0.33355
4841.06986,0.00462,0.00368,0.33364
4841.07986,0.00764,0.00392,0.33369
4841.08986,0.00441,0.00416,0.33359
4841.09985,0.00796,0.00424,0.33352
4841.10985,0.00466,0.00428,0.33348
4841.11985,0.00782,0.00436,0.33347
4841.12985,0.00436,0.00425,0.33348
4841.13984,0.00767,0.00432,0.33351
4841.14984,0.00407,0.00445,0.33342
