t,p1,p2,h
6675.37239,0.00288,0.00127,0.36945
6675.38239,0.0103,0.00129,0.36952
6675.39238,0.00297,0.00129,0.36955
6675.40238,0.01016,0.00134,0.36978
6675.41238,0.00306,0.0014,0.36998
6675.42238,0.01035,0.00148,0.37016
6675.43237,0.0031,0.00158,0.37015
6675.44237,0.01026,0.00175,0.37008
6675.45237,0.00277,0.00187,0.36997
6675.46237,0.00968,0.00207,0.37012
6675.47236,0.00246,0.00209,0.3703
6675.48236,0.00977,0.002,0.37039
6675.49236,0.00263,0.00196,0.37056
6675.50236,0.00986,0.00208,0.37087
6675.51235,0.00265,0.00194,0.3712
6675.52235,0.0096,0.00189,0.37159
6675.53235,0.00251,0.00202,0.37194
6675.54235,0.00964,0.00212,0.37221
6675.55234,0.00255,0.0019,0.37232
6675.56234,0.00977,0.00179,0.37249
6675.57234,0.00268,0.00176,0.37276
6675.58233,0.00962,0.00184,0.37304
6675.59233,0.00249,0.00178,0.37319
6675.60233,0.00945,0.00176,0.37332
6675.61233,0.00248,0.00175,0.37338
6675.62232,0.00975,0.00181,0.37348
6675.63232,0.0029,0.00181,0.3736
6675.64232,0.00974,0.00183,0.37375
6675.65232,0.00276,0.00177,0.37381
6675.66231,0.00998,0.00179,0.37387
6675.67231,0.00336,0.00174,0.37391
6675.68231,0.01026,0.0017,0.37419
6675.69231,0.00307,0.00166,0.37456
6675.7023,0.00996,0.00173,0.37489
6675.7123,0.0031,0.00167,0.3749
6675.7223,0.00995,0.00153,0.37495
6675.7323,0.00284,0.00132,0.37504
6675.74229,0.00938,0.00129,0.37512
6675.75229,0.00251,0.00128,0.37515
6675.76229,0.00946,0.00128,0.37535
6675.77229,0.00283,0.00124,0.37557
6675.78228,0.00964,0.00122,0.37575
6675.79228,0.0028,0.00104,0.37583
6675.80228,0.00947,0.00103,0.37598
6675.81227,0.00276,0.00098,0.37612
6675.82227,0.00945,0.00112,0.37629
6675.83227,0.00244,0.00127,0.37651
6675.84227,0.00905,0.0014,0.37674
6675.85226,0.00233,0.00123,0.37699
6675.86226,0.00906,0.00111,0.37745
6675.87226,0.00273,0.00119,0.37772
6675.88226,0.00948,0.00149,0.37784
6675.89225,0.00261,0.0015,0.37792
6675.90225,0.00936,0.00146,0.3781
6675.91225,0.00293,0.00139,0.3781
6675.92225,0.00939,0.00131,0.37817
6675.93224,0.00259,0.00112,0.37829
6675.94224,0.009,0.00113,0.37839
6675.95224,0.00228,0.00125,0.37841
6675.96224,0.00854,0.00153,0.37846
6675.97223,0.00192,0.00154,0.37848
6675.98223,0.00862,0.00147,0.37868
6675.99223,0.002,0.00146,0.37884
6676.00223,0.00842,0.00148,0.379
6676.01222,0.00202,0.00125,0.37902
6676.02222,0.00854,0.00121,0.37909
6676.03222,0.00203,0.00122,0.37904
6676.04221,0.00853,0.00136,0.37917
6676.05221,0.00212,0.00159,0.37947
6676.06221,0.0084,0.00166,0.37975
6676.07221,0.00208,0.00143,0.37995
6676.0822,0.00881,0.00135,0.38025
6676.0922,0.00256,0.00147,0.38045
