t,p1,p2,h
4617.26812,0.01308,0.00121,0.33212
4617.27811,-0.00179,0.00116,0.33206
4617.28811,0.01259,0.00117,0.33207
4617.29811,-0.00212,0.00117,0.33208
4617.30811,0.01271,0.00119,0.33208
4617.3181,-0.00159,0.00114,0.33198
4617.3281,0.01354,0.00117,0.332
4617.3381,-0.00101,0.00118,0.33203
4617.3481,0.01329,0.00123,0.33212
4617.35809,-0.00172,0.00129,0.33206
4617.36809,0.01297,0.00126,0.33204
4617.37809,-0.00143,0.00123,0.332
4617.38809,0.01357,0.00126,0.33207
4617.39808,-0.00123,0.00127,0.33201
4617.40808,0.01344,0.00134,0.33197
4617.41808,-0.0012,0.00148,0.33193
4617.42808,0.01388,0.00163,0.33204
4617.43807,-0.00075,0.00164,0.33209
4617.44807,0.01392,0.00145,0.33215
4617.45807,-0.00085,0.00131,0.33209
4617.46807,0.01388,0.00125,0.33203
4617.47806,-0.00089,0.00115,0.33197
4617.48806,0.01412,0.00115,0.33205
4617.49806,-0.00078,0.00115,0.33204
4617.50805,0.01381,0.00107,0.33205
4617.51805,-0.00107,0.00107,0.33198
4617.52805,0.01382,0.00105,0.33199
4617.53805,-0.001,0.00102,0.33194
4617.54804,0.01359,0.00108,0.332
4617.55804,-0.00136,0.00122,0.33204
4617.56804,0.01342,0.00141,0.33209
4617.57804,-0.00141,0.0014,0.33203
4617.58803,0.01337,0.00148,0.33205
4617.59803,-0.00146,0.00168,0.33198
4617.60803,0.01344,0.00177,0.33202
4617.61803,-0.00129,0.00157,0.33195
4617.62802,0.01358,0.00126,0.33195
4617.63802,-0.00147,0.00101,0.33198
4617.64802,0.01335,0.0011,0.33212
4617.65802,-0.0015,0.00119,0.33217
4617.66801,0.01327,0.00112,0.33219
4617.67801,-0.00164,0.001,0.33211
4617.68801,0.01337,0.00107,0.3321
4617.69801,-0.00158,0.00106,0.33206
4617.708,0.01335,0.00095,0.33209
4617.718,-0.00168,0.00102,0.33209
4617.728,0.01334,0.00117,0.33212
4617.73799,-0.00151,0.00106,0.33204
4617.74799,0.01332,0.00102,0.33203
4617.75799,-0.00163,0.00103,0.33193
4617.76799,0.01318,0.00109,0.33189
4617.77798,-0.00183,0.00123,0.33191
4617.78798,0.01312,0.00153,0.3321
4617.79798,-0.00192,0.0016,0.33215
