t,p1,p2,h
5266.09923,-0.00824,0.00025,0.32714
5266.10922,-0.00076,0.00014,0.32716
5266.11922,-0.00816,0.00014,0.32722
5266.12922,-0.00079,0.00024,0.32724
5266.13922,-0.00812,0.00016,0.32721
5266.14921,-0.0006,0.00015,0.3272
5266.15921,-0.00807,0.00045,0.32725
5266.16921,-0.00097,0.00064,0.32725
5266.1792,-0.0086,0.00077,0.32721
5266.1892,-0.00123,0.00067,0.32724
5266.1992,-0.00835,0.00059,0.32728
5266.2092,-0.00088,0.00062,0.32723
5266.21919,-0.00817,0.0008,0.32719
5266.22919,-0.00084,0.00084,0.32722
5266.23919,-0.00838,0.00065,0.32723
5266.24919,-0.00083,0.00023,0.32722
5266.25918,-0.00771,0.00016,0.32724
5266.26918,-0.0003,0.00027,0.32731
5266.27918,-0.00786,0.00044,0.32723
5266.28918,-0.00077,0.0004,0.32719
5266.29917,-0.00809,0.00035,0.32715
5266.30917,-0.00052,0.00025,0.32718
5266.31917,-0.00775,6e-05,0.32715
5266.32917,-0.00074,-0.00018,0.32719
5266.33916,-0.00808,-0.00021,0.32721
5266.34916,-0.00061,-2e-05,0.32721
5266.35916,-0.00796,0.00015,0.32718
5266.36916,-0.00075,0.00023,0.32723
5266.37915,-0.00817,0.00032,0.32727
5266.38915,-0.00117,0.00042,0.32732
5266.39915,-0.00867,0.00049,0.32728
5266.40914,-0.00128,0.0004,0.32722
5266.41914,-0.00868,0.00039,0.32721
5266.42914,-0.00166,0.00044,0.32723
5266.43914,-0.00905,0.00064,0.32722
5266.44913,-0.0016,0.00058,0.32719
5266.45913,-0.00883,0.00036,0.32718
5266.46913,-0.00133,0.00011,0.32729
5266.47913,-0.00838,0.00016,0.32727
5266.48912,-0.00109,0.00024,0.32721
5266.49912,-0.00862,0.0003,0.32721
5266.50912,-0.00139,0.00031,0.32724
5266.51912,-0.00845,0.0005,0.32722
5266.52911,-0.0012,0.00048,0.3272
5266.53911,-0.00856,0.0005,0.32721
5266.54911,-0.00128,0.00047,0.32727
5266.55911,-0.00845,0.00043,0.32723
5266.5691,-0.00128,0.00039,0.32727
5266.5791,-0.00847,0.00029,0.32727
5266.5891,-0.0012,8e-05,0.32718
5266.5991,-0.00853,6e-05,0.32711
5266.60909,-0.00123,0.00022,0.32718
5266.61909,-0.00835,0.00053,0.32719
5266.62909,-0.00105,0.00062,0.32718
5266.63908,-0.00827,0.0007,0.32718
5266.64908,-0.00111,0.00081,0.32717
5266.65908,-0.00839,0.00082,0.32717
5266.66908,-0.00123,0.0007,0.32717
5266.67907,-0.00837,0.00066,0.32713
5266.68907,-0.00107,0.00067,0.32716
5266.69907,-0.0082,0.00064,0.32714
5266.70907,-0.00107,0.00047,0.3271
5266.71906,-0.00824,0.00041,0.32715
5266.72906,-0.00085,0.0004,0.32724
5266.73906,-0.008,0.00048,0.32721
5266.74906,-0.00092,0.00053,0.32715
5266.75905,-0.00825,0.00064,0.32712
5266.76905,-0.0011,0.0007,0.32714
5266.77905,-0.00832,0.00064,0.32716
5266.78905,-0.0012,0.00047,0.32716
5266.79904,-0.00841,0.00052,0.32722
5266.80904,-0.00126,0.00067,0.3272
5266.81904,-0.00831,0.00074,0.32716
5266.82904,-0.00097,0.00073,0.32719
5266.83903,-0.00795,0.00071,0.32715
5266.84903,-0.00064,0.00058,0.32714
5266.85903,-0.00773,0.00055,0.32717
5266.86903,-0.0007,0.00042,0.32727
5266.87902,-0.00802,0.0004,0.32728
5266.88902,-0.001,0.00036,0.32725
5266.89902,-0.00823,0.00047,0.32723
5266.90901,-0.00145,0.0004,0.32727
5266.91901,-0.00867,0.00036,0.32729
5266.92901,-0.00141,0.00036,0.3273
5266.93901,-0.00835,0.0004,0.32722
5266.949,-0.00117,0.00045,0.3272
5266.959,-0.00819,0.00061,0.32717
5266.969,-0.00114,0.00089,0.32714
5266.979,-0.00823,0.00093,0.32717
5266.98899,-0.00109,0.00074,0.3272
5266.99899,-0.00812,0.00089,0.32718
5267.00899,-0.00114,0.00095,0.32717
5267.01899,-0.00829,0.00091,0.32713
5267.02898,-0.00111,0.00077,0.32712
5267.03898,-0.00794,0.00076,0.32717
5267.04898,-0.00085,0.00067,0.32723
5267.05898,-0.00782,0.00067,0.32722
5267.06897,-0.0007,0.00062,0.32714
5267.07897,-0.0079,0.00063,0.3271
5267.08897,-0.00116,0.00063,0.32714
5267.09897,-0.00834,0.00063,0.32711
5267.10896,-0.00136,0.00054,0.32715
5267.11896,-0.00841,0.00049,0.32715
5267.12896,-0.00144,0.00034,0.32716
5267.13895,-0.00867,0.00031,0.32715
5267.14895,-0.00172,0.00033,0.32719
5267.15895,-0.00868,0.0005,0.32717
5267.16895,-0.00144,0.00056,0.3272
5267.17894,-0.00814,0.00049,0.3272
5267.18894,-0.0009,0.00039,0.32718
5267.19894,-0.00805,0.00037,0.32713
5267.20894,-0.00133,0.00015,0.3271
5267.21893,-0.00831,3e-05,0.32707
5267.22893,-0.00111,-2e-05,0.32707
5267.23893,-0.00787,0,0.32699
5267.24893,-0.00102,9e-05,0.32702
5267.25892,-0.00835,0.00019,0.3271
5267.26892,-0.00149,0.00031,0.32713
5267.27892,-0.00829,0.00037,0.32711
5267.28892,-0.00115,0.00048,0.32717
5267.29891,-0.00818,0.00058,0.32719
5267.30891,-0.00131,0.00046,0.32725
5267.31891,-0.00824,0.00046,0.32719
5267.32891,-0.00106,0.00044,0.32707
5267.3389,-0.00774,0.00051,0.32705
5267.3489,-0.00107,0.00063,0.32709
5267.3589,-0.00827,0.00055,0.32709
5267.36889,-0.00122,0.00038,0.3271
5267.37889,-0.00805,0.00031,0.32708
5267.38889,-0.00103,0.00043,0.32708
5267.39889,-0.00799,0.00061,0.32713
5267.40888,-0.00116,0.00065,0.32714
5267.41888,-0.008,0.0007,0.32715
5267.42888,-0.00095,0.00048,0.32718
5267.43888,-0.00797,0.0005,0.32717
5267.44887,-0.00113,0.00044,0.32719
5267.45887,-0.00808,0.00049,0.32718
