t,p1,p2,h
3813.47735,-0.00163,0.00102,0.33016
3813.48734,-0.00361,0.00129,0.33024
3813.49734,-0.00185,0.00148,0.3303
3813.50734,-0.0038,0.00157,0.33026
3813.51733,-0.00177,0.00151,0.33019
3813.52733,-0.00357,0.00142,0.33017
3813.53733,-0.00182,0.00135,0.33017
3813.54733,-0.004,0.00129,0.33017
3813.55732,-0.00205,0.00106,0.33013
3813.56732,-0.00405,0.00099,0.33009
3813.57732,-0.00199,0.00086,0.33009
3813.58732,-0.00405,0.00072,0.3301
3813.59731,-0.00234,0.00059,0.33011
3813.60731,-0.00454,0.00055,0.33016
3813.61731,-0.00254,0.00049,0.33012
3813.62731,-0.00457,0.00052,0.33007
3813.6373,-0.00236,0.00063,0.33013
3813.6473,-0.00428,0.00081,0.3302
3813.6573,-0.00222,0.00082,0.33016
3813.6673,-0.00423,0.00069,0.33008
3813.67729,-0.00212,0.00043,0.33005
3813.68729,-0.0044,0.00025,0.33014
3813.69729,-0.00229,0.00015,0.33016
3813.70729,-0.00409,0.00026,0.33018
3813.71728,-0.00179,0.0002,0.33016
3813.72728,-0.00404,0.0002,0.33002
3813.73728,-0.00204,0.00031,0.33001
3813.74728,-0.00438,0.00052,0.33007
3813.75727,-0.00266,0.00037,0.33014
3813.76727,-0.00506,0.00025,0.33017
3813.77727,-0.00314,0.00024,0.33012
3813.78726,-0.00526,0.00051,0.33013
3813.79726,-0.00266,0.00065,0.33018
3813.80726,-0.00464,0.00055,0.33019
3813.81726,-0.00213,0.00063,0.33017
3813.82725,-0.0042,0.00065,0.33016
3813.83725,-0.00242,0.00038,0.33011
3813.84725,-0.00474,0.00025,0.3301
3813.85725,-0.00238,0.00024,0.33013
3813.86724,-0.00453,0.00036,0.33015
3813.87724,-0.00204,0.00036,0.3302
3813.88724,-0.00404,0.00034,0.33024
3813.89724,-0.00198,0.00044,0.33027
3813.90723,-0.00439,0.00063,0.33019
3813.91723,-0.00192,0.00062,0.3301
3813.92723,-0.00416,0.00064,0.33003
3813.93723,-0.00173,0.00073,0.33004
3813.94722,-0.00364,0.0007,0.33005
3813.95722,-0.00117,0.00051,0.33005
3813.96722,-0.00341,0.00033,0.33006
3813.97722,-0.00112,0.0002,0.33008
3813.98721,-0.00353,0.00045,0.33014
3813.99721,-0.00126,0.00068,0.33011
3814.00721,-0.00364,0.00076,0.33011
3814.0172,-0.00174,0.00077,0.33007
3814.0272,-0.00427,0.00071,0.32995
3814.0372,-0.00183,0.00044,0.3299
3814.0472,-0.00414,0.00029,0.32993
3814.05719,-0.00172,0.00024,0.32998
3814.06719,-0.00381,0.0002,0.33002
3814.07719,-0.00136,-1e-05,0.33
3814.08719,-0.00381,-0.00013,0.32997
3814.09718,-0.00155,0,0.32999
3814.10718,-0.00398,0.00025,0.33002
3814.11718,-0.00159,0.00026,0.32995
3814.12718,-0.00386,0.00019,0.3299
3814.13717,-0.00135,0.00012,0.32992
3814.14717,-0.00362,7e-05,0.33001
3814.15717,-0.00109,7e-05,0.33005
3814.16717,-0.0035,0.00022,0.33007
3814.17716,-0.00097,0.00011,0.33009
3814.18716,-0.00334,-8e-05,0.33012
3814.19716,-0.00108,-0.0002,0.33009
3814.20716,-0.00357,1e-05,0.33004
3814.21715,-0.00125,0.00027,0.33002
3814.22715,-0.00392,0.00059,0.32998
3814.23715,-0.00122,0.00057,0.32992
3814.24714,-0.00354,0.00047,0.3299
3814.25714,-0.00126,0.00054,0.3299
3814.26714,-0.00398,0.0007,0.32994
3814.27714,-0.00171,0.00057,0.33001
3814.28713,-0.00426,0.00055,0.32999
3814.29713,-0.00148,0.00059,0.32993
3814.30713,-0.00374,0.00067,0.32991
3814.31713,-0.00135,0.00065,0.32995
3814.32712,-0.00421,0.0005,0.32999
3814.33712,-0.00191,0.00034,0.33
3814.34712,-0.00456,0.0004,0.33002
3814.35712,-0.00168,0.00029,0.33001
3814.36711,-0.00402,0.00024,0.32996
3814.37711,-0.00142,0.00029,0.32995
3814.38711,-0.00399,0.00033,0.33001
3814.39711,-0.00131,0.00027,0.33005
